series,leg,period,n,ann_return,ann_vol,sharpe,t_stat,hit,max_drawdown,mean_period,total_return,daily_bp
universe (equal weight),overnight,all,2511,0.13470401994047587,0.11923749276824197,1.1202978961965715,3.5363611138230144,0.5854241338112306,-0.3106709066385652,0.0005300853662540293,2.5226203679292536,5.300853662540293
universe (equal weight),intraday,all,2512,0.04402402187843424,0.13693926979641152,0.3829144942551384,1.208958388244337,0.5354299363057324,-0.20907336901153373,0.00020807948903873357,0.5364234621112733,2.0807948903873354
universe (equal weight),overnight,train,1591,0.1364627744611202,0.13470470745425686,1.0180230280139766,2.557952181112831,0.5857950974230044,-0.3106709066385652,0.0005441765641679343,1.2425772244679427,5.441765641679344
universe (equal weight),intraday,train,1592,0.02534257095472081,0.14356604888232966,0.2460683121947323,0.6184818391555933,0.5414572864321608,-0.20907336901153373,0.0001401867275275448,0.17128992440563784,1.401867275275448
universe (equal weight),overnight,test,920,0.131668942638971,0.08623921082589339,1.477757371510516,2.8235584193245926,0.5847826086956521,-0.1243524576554027,0.0005057167837746565,0.5707911101099403,5.057167837746565
universe (equal weight),intraday,test,920,0.07715871557755505,0.1246963672459799,0.6579341487111202,1.2571180768704575,0.525,-0.13987106580499764,0.00032556348504505155,0.31173625769120994,3.2556348504505155
SPY,overnight,all,2511,0.10852195997157743,0.11538541932385872,0.9513334323550241,3.0030035474330474,0.5738749502190362,-0.2941355214337924,0.0004355952659090882,1.791547351428477,4.355952659090882
SPY,intraday,all,2512,0.03950076787104151,0.13613467343449245,0.35245169872981297,1.1127795996838412,0.5378184713375797,-0.24590837911136187,0.00019040038455561591,0.4713433261436559,1.9040038455561592
SPY,overnight,train,1591,0.09932964327726568,0.12647725814449304,0.8128924581534592,2.0425275058859125,0.5707102451288498,-0.2941355214337924,0.0004079857510856609,0.8182806428931086,4.079857510856609
SPY,intraday,train,1592,0.012188732252561119,0.14124015980030383,0.15645189408770044,0.393234928673634,0.5345477386934674,-0.24590837911136187,8.768766080161516e-05,0.0795414133676502,0.8768766080161515
SPY,overnight,test,920,0.12460043973498847,0.09319828814619119,1.3069136349018753,2.497126435163945,0.5793478260869566,-0.159138442578734,0.00048334172034829786,0.5352675959783555,4.833417203482979
SPY,intraday,test,920,0.08851490151713115,0.12684079902232673,0.7313955006021895,1.3974810502691113,0.5434782608695652,-0.13130390319934848,0.00036813805435601725,0.36293365675872646,3.6813805435601723
