rule,kind,hold,period,n,net_ret,hit,avg_bars,early_exit,per_bar_bp,rand_net,rand_hit,rand_avg_bars,rand_per_bar_bp,excess,excess_lo,excess_hi,excess_bar_bp,profit_factor
time 5,time,5,train,433,-0.0030701040270889536,0.5242494226327945,5.0,0.0,-6.140208054177908,-0.0020051156237493226,0.4972286374133949,5.0,-4.010231247498645,-0.0010649884033396319,-0.009486943618487646,0.008144237503031414,-2.129976806679263,0.8956109667876035
time 5,time,5,test,265,0.0053540130341095905,0.539622641509434,5.0,0.0,10.708026068219183,-0.004524601588378056,0.4652830188679245,5.0,-9.049203176756114,0.009878614622487646,0.003812832894818103,0.016112608010678577,19.7572292449753,1.3594863501232033
time 5,time,5,all,698,0.0001281639116182301,0.5300859598853869,5.0,0.0,0.2563278232364602,-0.002961653991409229,0.4851002865329513,5.0,-5.923307982818457,0.003089817903027459,-0.0025021495698825517,0.008015662332097797,6.179635806054917,1.0053627628588249
time 10,time,10,train,433,0.0015080642782669255,0.5635103926096998,10.0,0.0,1.5080642782669256,-0.0026225669858518795,0.49676674364896073,10.0,-2.6225669858518796,0.004130631264118805,-0.0069185259535769605,0.014938868376020853,4.130631264118805,1.0418219546500878
time 10,time,10,test,265,0.012030295080193258,0.5924528301886792,10.0,0.0,12.030295080193259,-0.006880517372844239,0.4539622641509434,10.0,-6.880517372844239,0.0189108124530375,0.011695740049173108,0.027154791699769244,18.910812453037497,1.6564703203847269
time 10,time,10,all,698,0.005502894023983943,0.5744985673352435,10.0,0.0,5.502894023983942,-0.00423912408119998,0.48051575931232093,10.0,-4.23912408119998,0.009742018105183922,0.002734795763505915,0.016721854673645543,9.742018105183924,1.1876420626115556
time 20,time,20,train,433,0.023408548865985132,0.6004618937644342,20.0,0.0,11.704274432992566,-0.005270616455070181,0.49607390300230947,20.0,-2.6353082275350905,0.02867916532105531,0.013892981394455686,0.04299959838617902,14.339582660527658,1.6047248327812018
time 20,time,20,test,265,0.01843086570933893,0.5886792452830188,20.0,0.0,9.215432854669466,-0.01126901239326564,0.43924528301886795,20.0,-5.63450619663282,0.02969987810260457,0.017984026152260142,0.04082737287380047,14.849939051302286,1.7073642488590142
time 20,time,20,all,698,0.021518740790754123,0.5959885386819485,20.0,0.0,10.759370395377061,-0.007547944425875048,0.47449856733524354,20.0,-3.7739722129375237,0.02906668521662917,0.019948196796943214,0.03807725027170815,14.533342608314586,1.6346708413378885
time 40,time,40,train,433,0.04795175293718517,0.6120092378752887,40.0,0.0,11.987938234296292,-0.011587351738356712,0.46720554272517323,40.0,-2.896837934589178,0.059539104675541875,0.04281751288770491,0.07992464207034576,14.88477616888547,2.221411981119147
time 40,time,40,test,265,0.02933460831930616,0.6037735849056604,40.0,0.0,7.33365207982654,-0.025039892316642973,0.39962264150943394,40.0,-6.259973079160743,0.05437450063594915,0.03667087027873689,0.07123075513014762,13.593625158987283,1.7640319329264922
time 40,time,40,all,698,0.04088363929286148,0.6088825214899714,40.0,0.0,10.220909823215369,-0.016694691642720406,0.44154727793696275,40.0,-4.173672910680101,0.05757833093558189,0.04552855233234371,0.07054308040120673,14.394582733895469,2.050157704512769
time 60,time,60,train,433,0.09796564971157562,0.6951501154734411,60.0,0.0,16.327608285262603,-0.021749130404836697,0.43348729792147805,60.0,-3.6248550674727826,0.11971478011641232,0.0968358408799802,0.14402984558634663,19.952463352735386,3.5090929065834215
time 60,time,60,test,265,0.04370674333669754,0.6113207547169811,60.0,0.0,7.2844572227829225,-0.03705123547351448,0.3709433962264151,60.0,-6.175205912252412,0.080757978810212,0.05773538709060407,0.10125576956727428,13.459663135035335,1.9940835291385122
time 60,time,60,all,698,0.07736592164661474,0.663323782234957,60.0,0.0,12.89432027443579,-0.027558668862142727,0.40974212034383956,60.0,-4.593111477023788,0.10492459050875748,0.08816253120417045,0.12189769698198044,17.487431751459578,2.8909791828109332
take 2% / time 20,target,20,train,433,0.002316791241650212,0.8637413394919169,5.5704387990762125,0.8545034642032333,4.159082121204568,-0.003602604290764195,0.7986143187066974,7.687759815242495,-4.686156146061332,0.005919395532414409,-0.00030684350476721555,0.011819647313678596,8.8452382672659,1.1564246482477716
take 2% / time 20,target,20,test,265,0.008624460666183841,0.8679245283018868,5.977358490566037,0.8528301886792453,14.42854846299696,-0.004331457634273013,0.7588679245283019,8.305283018867925,-5.215304071435996,0.012955918300456856,0.00787319457642133,0.017973598879889523,19.643852534432956,1.9928163477326366
take 2% / time 20,target,20,all,698,0.004711536796809829,0.8653295128939829,5.724928366762177,0.8538681948424068,8.229861572005156,-0.0038793179526980586,0.7835243553008596,7.922206303724928,-4.896764618303425,0.008590854749507888,0.004311473711340556,0.013169661860876383,13.126626190308581,1.3773492680554755
take 3% / time 20,target,20,train,433,0.004563699805274716,0.8198614318706697,7.725173210161663,0.7944572748267898,5.9075695536142065,-0.0028521864533113594,0.7348729792147806,9.943879907621247,-2.8682832856070295,0.0074158862585860744,0.0004075329141600223,0.01425289768602669,8.775852839221237,1.228299763399164
take 3% / time 20,target,20,test,265,0.010232508587154344,0.7962264150943397,8.132075471698114,0.7584905660377359,12.582899190700237,-0.005263697622619167,0.6728301886792453,10.806792452830189,-4.870730742349602,0.015496206209773513,0.009436455611554899,0.021988763046188447,17.45362993304984,1.7691446709964436
take 3% / time 20,target,20,all,698,0.006715897981776294,0.8108882521489972,7.8796561604584525,0.7808022922636103,8.52308507505428,-0.0037677315247534346,0.7113180515759312,10.271489971346705,-3.66814506489699,0.01048362950652973,0.004878000638065021,0.015690346800248625,12.19123013995127,1.3848323495979964
take 5% / time 20,target,20,train,433,0.010350254084882451,0.7413394919168591,10.92609699769053,0.6558891454965358,9.472965586036992,-0.0038500041437542548,0.6304849884526559,13.445496535796767,-2.8634153699747373,0.014200258228636709,0.006225271476672364,0.022481764071076656,12.336380956011729,1.4171961563903615
take 5% / time 20,target,20,test,265,0.013123377017200658,0.6981132075471698,11.773584905660377,0.6150943396226415,11.146458043455688,-0.006397460383158893,0.5626415094339623,14.229056603773586,-4.496053787193643,0.019520837400359554,0.011252658064829998,0.02793133394784588,15.64251183064933,1.6772598522138105
take 5% / time 20,target,20,all,698,0.011403087289845666,0.7249283667621776,11.24785100286533,0.6404011461318052,10.138014174388326,-0.004817161598542549,0.604727793696275,13.74297994269341,-3.505179821719554,0.016220248888388217,0.009927876053661876,0.022891752925018924,13.643193996107879,1.5013046232537286
take 8% / time 20,target,20,train,433,0.016762750227611145,0.6882217090069284,13.870669745958429,0.49191685912240185,12.085033047878165,-0.004552160655918682,0.5545034642032333,16.423325635103925,-2.7717654493732358,0.021314910883529825,0.010621748755124588,0.030722055855098945,14.8567984972514,1.5615138320053932
