rule,kind,hold,period,n,net_ret,hit,avg_bars,early_exit,per_bar_bp,rand_net,rand_hit,rand_avg_bars,rand_per_bar_bp,excess,excess_lo,excess_hi,excess_bar_bp,profit_factor
time 5,time,5,train,607,-0.0005995229798870177,0.514003294892916,5.0,0.0,-1.1990459597740355,-0.003432188021814867,0.47924217462932456,5.0,-6.864376043629734,0.0028326650419278486,-0.00634268359592327,0.011256258262219909,5.665330083855698,0.9825247295699263
time 5,time,5,test,512,0.004297186850658905,0.52734375,5.0,0.0,8.59437370131781,-0.00428257763026224,0.463671875,5.0,-8.565155260524481,0.008579764480921145,0.0032383446263337455,0.01481319197733831,17.15952896184229,1.2041528137030444
time 5,time,5,all,1119,0.0016409733858319393,0.5201072386058981,5.0,0.0,3.2819467716638786,-0.0038212849650901617,0.47211796246648796,5.0,-7.642569930180323,0.005462258350922101,-0.0004670085376445978,0.01110175217145802,10.924516701844201,1.0581067004536975
time 10,time,10,train,607,0.009225425187091803,0.5700164744645799,10.0,0.0,9.225425187091803,-0.003990243988556561,0.4873146622734761,10.0,-3.990243988556561,0.013215669175648363,0.0008891909516719771,0.02395217949983429,13.215669175648364,1.2570996108654195
time 10,time,10,test,508,0.011839469504395274,0.5688976377952756,10.0,0.0,11.839469504395273,-0.006545714007546715,0.4641732283464567,10.0,-6.545714007546715,0.01838518351194199,0.011179228610006768,0.02663006726917713,18.38518351194199,1.48178127015631
time 10,time,10,all,1115,0.010416397844661456,0.5695067264573991,10.0,0.0,10.416397844661457,-0.005154529880616649,0.47677130044843047,10.0,-5.154529880616649,0.015570927725278108,0.009103037549875398,0.022671252224498648,15.570927725278107,1.3389589775476944
time 20,time,20,train,607,0.026546374021614336,0.6029654036243822,20.0,0.0,13.273187010807169,-0.006686900214850937,0.47413509060955517,20.0,-3.3434501074254688,0.033233274236465264,0.019857055780829434,0.04627191586781131,16.61663711823264,1.7142275296420997
time 20,time,20,test,504,0.02724086272567115,0.5853174603174603,20.0,0.0,13.620431362835577,-0.01143298119008449,0.44345238095238093,20.0,-5.716490595042245,0.038673843915755644,0.027568813747406648,0.05084908759158598,19.33692195787782,1.8712259839814416
time 20,time,20,all,1111,0.026861425602932636,0.594959495949595,20.0,0.0,13.430712801466317,-0.008839937848980288,0.46021602160216024,20.0,-4.419968924490144,0.03570136345191293,0.02651283589609948,0.04509680475830644,17.850681725956463,1.7787921172418453
time 40,time,40,train,607,0.036112799906668096,0.5766062602965404,40.0,0.0,9.028199976667024,-0.01201845152326791,0.45354200988467874,40.0,-3.0046128808169774,0.048131251429935996,0.029747438958216924,0.06710070300193989,12.032812857484,1.7022930586180023
time 40,time,40,test,486,0.044136587561598994,0.6131687242798354,40.0,0.0,11.034146890399748,-0.019574351840470804,0.41975308641975306,40.0,-4.893587960117701,0.06371093940206979,0.047633809439475434,0.08275346048366591,15.92773485051745,2.079874765526807
time 40,time,40,all,1093,0.039680559101815775,0.5928636779505947,40.0,0.0,9.920139775453944,-0.015378165662481642,0.4385178408051235,40.0,-3.84454141562041,0.05505872476429741,0.041988566145754934,0.06785006447177012,13.764681191074354,1.849135512762981
time 60,time,60,train,607,0.08195515264006065,0.6507413509060955,60.0,0.0,13.659192106676775,-0.015343782129421014,0.4382207578253707,60.0,-2.557297021570169,0.09729893476948165,0.07377062588038741,0.11902826136445897,16.216489128246945,2.77400427274539
time 60,time,60,test,478,0.08561338280754545,0.6359832635983264,60.0,0.0,14.268897134590908,-0.025004209816523702,0.39895397489539747,60.0,-4.16736830275395,0.11061759262406916,0.08269555658094166,0.14242948723240895,18.436265437344858,2.9674268027197948
time 60,time,60,all,1085,0.08356679689817838,0.6442396313364055,60.0,0.0,13.92779948302973,-0.019599712483739064,0.4209216589861751,60.0,-3.266618747289844,0.10316650938191743,0.0852189496308421,0.11981930460048194,17.194418230319574,2.856376458100293
take 2% / time 20,target,20,train,607,0.00438765819702292,0.8780889621087314,5.4332784184514,0.8649093904448105,8.075526154011255,-0.00266882603160477,0.8069192751235584,7.361449752883031,-3.6254082024529932,0.007056484228627691,0.0018403730871964625,0.012024166629910345,11.700934356464249,1.309945145457182
take 2% / time 20,target,20,test,513,0.0025777654232700693,0.8499025341130604,5.764132553606238,0.8421052631578947,4.472078668033634,-0.004142317765300565,0.783625730994152,7.7742690058479536,-5.328240844489217,0.006720083188570634,0.001904164196234788,0.011071344046762022,9.80031951252285,1.1821951425094337
take 2% / time 20,target,20,all,1120,0.00355866266761648,0.8651785714285715,5.584821428571429,0.8544642857142857,6.372025879665,-0.003343737870342219,0.79625,7.550535714285714,-4.428477656248712,0.006902400537958699,0.003264555790233442,0.01052014791750975,10.800503535913712,1.2514487047504117
take 3% / time 20,target,20,train,607,0.008366414567821981,0.8336079077429983,7.13179571663921,0.8072487644151565,11.731147245710192,-0.0032218190600530362,0.7367380560131795,9.603789126853377,-3.354737403640437,0.011588233627875017,0.005941719091965428,0.017243196852805714,15.085884649350628,1.4742076950509346
take 3% / time 20,target,20,test,512,0.0040262541719641035,0.783203125,7.99609375,0.76953125,5.0352763459834415,-0.005021233304576811,0.7041015625,10.130859375,-4.95637449767366,0.009047487476540913,0.0032755855974060124,0.015358928129087835,9.991650843657101,1.2072739055589943
