rule,kind,hold,period,n,net_ret,hit,avg_bars,early_exit,per_bar_bp,rand_net,rand_hit,rand_avg_bars,rand_per_bar_bp,excess,excess_lo,excess_hi,excess_bar_bp,profit_factor
time 5,time,5,train,586,0.008477888881656306,0.5972696245733788,5.0,0.0,16.95577776331261,-0.0021518782957144662,0.48737201365187716,5.0,-4.303756591428933,0.010629767177370773,0.006205181978432219,0.014585848816431565,21.259534354741543,1.6203381360397304
time 5,time,5,test,372,-0.0014866664204003111,0.5134408602150538,5.0,0.0,-2.973332840800622,-0.0024421912462812396,0.47419354838709676,5.0,-4.884382492562479,0.0009555248258809281,-0.004253293059076942,0.006478397439787952,1.9110496517618571,0.9156150746035142
time 5,time,5,all,958,0.004608562605701128,0.5647181628392485,5.0,0.0,9.217125211402255,-0.0022646094205692052,0.4822546972860125,5.0,-4.52921884113841,0.006873172026270333,0.0037652756165204725,0.009890462904474767,13.746344052540664,1.3031786523207567
time 10,time,10,train,586,0.01873697178551803,0.6484641638225256,10.0,0.0,18.73697178551803,-0.0034995314196159867,0.48447098976109215,10.0,-3.499531419615987,0.02223650320513402,0.01587004026752359,0.02798939391392262,22.236503205134017,2.0552412635476363
time 10,time,10,test,370,0.009222866113664779,0.5648648648648649,10.0,0.0,9.22286611366478,-0.0030379775672249197,0.46945945945945944,10.0,-3.0379775672249196,0.012260843680889697,0.005397574539355557,0.02019630170902349,12.2608436808897,1.4251970897297013
time 10,time,10,all,956,0.015054734234696165,0.6161087866108786,10.0,0.0,15.054734234696166,-0.0033208965604269755,0.4786610878661088,10.0,-3.3208965604269753,0.01837563079512314,0.01363979657503393,0.02322986092328162,18.375630795123143,1.780889880373912
time 20,time,20,train,586,0.03931849749423577,0.6757679180887372,20.0,0.0,19.659248747117886,-0.006321482477969043,0.4614334470989761,20.0,-3.1607412389845218,0.045639979972204814,0.03683297524796175,0.05424334662978521,22.819989986102406,2.8315391881496623
time 20,time,20,test,370,0.020481930286065902,0.5945945945945946,20.0,0.0,10.240965143032952,-0.007283950123852406,0.4472972972972973,20.0,-3.641975061926203,0.02776588040991831,0.016433398562593234,0.03895117857701896,13.882940204959155,1.6989860737753304
time 20,time,20,all,956,0.03202819428605287,0.6443514644351465,20.0,0.0,16.014097143026436,-0.006693985646354864,0.4559623430962343,20.0,-3.3469928231774317,0.03872217993240774,0.03153818883623337,0.04600493873879115,19.361089966203867,2.3072844089526763
time 40,time,40,train,586,0.035178204541513984,0.6143344709897611,40.0,0.0,8.794551135378496,-0.0110195564871858,0.4476109215017065,40.0,-2.75488912179645,0.04619776102869978,0.03546338402559747,0.05774773175644422,11.549440257174947,2.0899971709500518
time 40,time,40,test,358,0.04958428175447868,0.6368715083798883,40.0,0.0,12.39607043861967,-0.016622213599405845,0.4011173184357542,40.0,-4.1555533998514615,0.06620649535388452,0.053141612115362655,0.08129326919912323,16.55162383847113,2.7157340130931273
time 40,time,40,all,944,0.040641526196430675,0.6228813559322034,40.0,0.0,10.160381549107669,-0.013144292976777727,0.42997881355932205,40.0,-3.2860732441944314,0.053785819173208405,0.04440681422161348,0.06350837910546003,13.4464547933021,2.3112643933596324
time 60,time,60,train,586,0.04150945102366459,0.6160409556313993,60.0,0.0,6.9182418372774315,-0.016538908077585047,0.40511945392491466,60.0,-2.756484679597508,0.05804835910124965,0.04387803898556004,0.07304339470403204,9.674726516874939,2.0449277833569033
time 60,time,60,test,348,0.05931125007719104,0.617816091954023,60.0,0.0,9.885208346198505,-0.02960638940576196,0.3545977011494253,60.0,-4.93439823429366,0.088917639482953,0.06780631607082392,0.10793979180335032,14.819606580492165,2.610508803950895
time 60,time,60,all,934,0.04814224124917552,0.6167023554603854,60.0,0.0,8.023706874862587,-0.02140773409707709,0.3862955032119914,60.0,-3.567955682846182,0.06954997534625261,0.05778144483618005,0.08209386900482334,11.59166255770877,2.245746694451204
take 2% / time 20,target,20,train,586,0.01086494912536494,0.9044368600682594,5.728668941979522,0.8959044368600683,18.96592251255244,-0.004248047204576767,0.7849829351535836,7.8839590443686,-5.388215718359276,0.015112996329941708,0.011458808341188797,0.01850923009785843,24.354138230911715,2.42163820281889
