period,threshold,direction,n,n_symbols,avg_move,net_1,hit_1,lochit_1,xspy_1,xloc_1,xloc_lo_1,xloc_hi_1,t_1,net_2,hit_2,lochit_2,xspy_2,xloc_2,xloc_lo_2,xloc_hi_2,t_2,net_3,hit_3,lochit_3,xspy_3,xloc_3,xloc_lo_3,xloc_hi_3,t_3,net_5,hit_5,lochit_5,xspy_5,xloc_5,xloc_lo_5,xloc_hi_5,t_5,net_10,hit_10,lochit_10,xspy_10,xloc_10,xloc_lo_10,xloc_hi_10,t_10
all,2.0,-1,30976,514,0.05329826260392519,-0.00037554711782145295,0.47969395661157027,0.4834678460743801,0.0001244528821785475,0.0002804118919857639,3.422933592029904e-06,0.0005356939205164885,2.0798781508944106,-0.0019469115480036337,0.467264979338843,0.4762945506198347,0.00034941492698659554,-0.0006268053819839809,-0.001045099740255165,-0.00020070040611321342,-2.94293425080069,-0.00250928052152462,0.4579351756198347,0.46864346590909095,0.0004899580095407782,-0.00045143358611233103,-0.0009057751043680662,3.565892989143346e-05,-1.8167546715392133,-0.0020586697273857132,0.4639225181598063,0.45899728822314056,0.00011886261235759543,0.0013276029025910004,0.0007323694733574539,0.0019196958810938545,4.099224959532691,-0.007053643291180437,0.42726157422354233,0.4454287190082644,-0.0010751827882434757,4.505290135703437e-06,-0.0008204743794425918,0.0008746411704088849,0.009924807005958769
all,2.0,1,31685,514,-0.04967279607416759,-0.00010630864827224666,0.4999842196623008,0.5094050812687392,0.0003936913517277538,0.00012831107820739966,-0.0001590001650339051,0.0004165913107929207,0.8928677274415848,-0.001117852814763391,0.5076379245044818,0.5272621114091842,0.0005345394661161334,-0.00170816587491407,-0.0021266986847838275,-0.0012488063615289139,-7.8206865683901,-0.0012694859192939984,0.515796118036926,0.5347167429382989,7.827160333611671e-05,-0.002707751674375375,-0.0032236596744023003,-0.0021170509043045146,-9.958692531524864,3.6509103948893186e-05,0.5352059334069749,0.5485213823575824,0.0002024770738428782,-0.003062676063676684,-0.00378807703083525,-0.0023772570908396347,-8.393007388205742,0.0033970412322580088,0.5574106804696377,0.5664415338488243,0.0013008959224069141,-0.0037593117414446487,-0.004657548648848584,-0.0027758929663105705,-7.624239566874658
all,2.5,-1,15996,514,0.06720566424043674,-0.000509894333302634,0.4813078269567392,0.48225806451612907,-9.89433330263358e-06,8.415727901238447e-05,-0.000309392117024236,0.0004994237253722323,0.4078252470665945,-0.00267419945161607,0.46211552888222057,0.47663165791447865,0.0003697573668736385,-0.0014449149214042698,-0.00204207047282739,-0.0008312612112360023,-4.477896855628494,-0.0028087767549322125,0.4573643410852713,0.4706801700425106,0.0005062018887339535,-0.0009195357669519246,-0.0016107041308091356,-0.000169972908981636,-2.4787691564819934,-0.0010850209750373377,0.47095967489840573,0.4569454863715929,0.0005211980836309816,0.002484658555403755,0.0015080047828463954,0.0034219306242589424,5.164585202889464,-0.006402507766876508,0.4255079712410128,0.447136784196049,-0.0005053193646086772,0.000236863589950794,-0.0009685859477816632,0.0015675290774981975,0.355470273744553
all,2.5,1,17703,514,-0.05982346737804653,0.0003277567197289153,0.501779359430605,0.5089928260746767,0.0008277567197289157,0.0005630228064484805,0.00018556864943826667,0.0010131867410999038,2.6750521770765388,-0.0028085916822212275,0.4943509207999096,0.5245438626221545,0.0005083280446777506,-0.003398716011309201,-0.004052025999868395,-0.002774660404369631,-10.456610202860206,-0.003630612015469513,0.5020617974354629,0.5343840027114047,-0.00014840685682917192,-0.005077341170833594,-0.005859762049253404,-0.004334232938792865,-12.657868305123806,-0.0021652061990330707,0.5249957634299272,0.5512286053211319,6.162232787997363e-05,-0.00538887290985559,-0.006542302806232921,-0.00439103231448273,-9.676062014625757,-1.0633588935303878e-05,0.5454185967687267,0.5696492119979665,0.0011896932104656437,-0.007492400362800168,-0.008851269259016496,-0.006177548095005359,-10.37832369779194
all,3.0,-1,9176,514,0.08115821565458047,-0.0003077356387379549,0.4887750653879686,0.48145161290322575,0.0001922643612620455,0.0003067324190894684,-0.0002407667869741379,0.0008135220314569498,1.0463595815746596,-0.003462583811856496,0.4608761987794246,0.47465126416739317,0.0005626627107886477,-0.0022437695933477395,-0.0031672985627623916,-0.0014060915933111805,-5.01129247062278,-0.0026944648409341254,0.46207497820401044,0.4673060156931125,0.0006841711298543137,-0.000558295268452915,-0.00160857902391124,0.0003588754487236665,-1.0935888049378923,-0.0003144363620934238,0.4798910081743869,0.45892545771578025,0.0006065301039733475,0.0031210070369196378,0.0018852246356249854,0.004432830618677974,4.787436817914626,-0.0061624576816459616,0.42038147138964577,0.44265475152571926,-0.0006499932250331156,0.0013099295159177864,-0.0004271224014395319,0.0033056852743082194,1.4332935551632724
all,3.0,1,10721,513,-0.07036426477277545,0.0008320386301190871,0.5027516089916986,0.5061468146628113,0.0013320386301190876,0.0010691163266978998,0.0005043499575712133,0.0015871825550144193,3.658168317606006,-0.005132858107608813,0.4788732394366197,0.5260796567484377,0.00046034607254697444,-0.005748222161466454,-0.006737672758295775,-0.004841634899412983,-12.465224876695686,-0.00655443916184613,0.490439324689861,0.5346609458072942,-0.0005953439233183873,-0.007900155410932478,-0.009045966191299529,-0.006793543921385246,-13.87135885025443,-0.005876463724469772,0.512918571028822,0.5499300438391941,-0.0005610059206148743,-0.00914819983995591,-0.010695247857619654,-0.007620958859100969,-11.524720147888967,-0.00430668154815791,0.5315298507462687,0.5699841432702174,0.000456205331608258,-0.011819088274573538,-0.013743881910600582,-0.009993957205147813,-11.907389190597982
train,2.0,-1,19430,503,0.05190746986013501,-0.0005459768735842842,0.47020072053525475,0.4835872362326299,-4.597687358428385e-05,9.75554297289163e-06,-0.0003339756014503905,0.0003703965305802564,0.055922165279745084,-0.0024648916615946617,0.45738548636129694,0.4741224909933093,-0.00010858698777155889,-0.0012700495365443436,-0.0018993162470885203,-0.0005953385564420029,-4.433570953302417,-0.0021884720582602433,0.45661348430262483,0.465018013381369,0.0003014206419876364,-0.0003174638487017779,-0.0009750560108231198,0.00035583015794959694,-0.9718474764808871,-0.0012285944193440627,0.45918682449819864,0.4536541430777149,-0.00037280708200433817,0.0018921308736620235,0.0010773234129781881,0.0027451548857917694,4.391283975247327,-0.005062298882746051,0.42372619660319094,0.4389089037570767,-0.0011264600102875151,0.001543253157133632,0.00033481815937600287,0.0026243017258411046,2.59016107935285
train,2.0,1,20511,503,-0.048374097529324867,-4.876687798036985e-05,0.502072058895227,0.5073667788016186,0.0004512331220196305,0.0002181263754016186,-0.0001332375282794124,0.0005815534353605384,1.1834429782793003,-0.002141878279114946,0.49997562283652675,0.5271366583784312,0.0003988265762208639,-0.0026377047146953474,-0.0031520451168895263,-0.002042531343068218,-9.04151699502038,-0.0029210779808212096,0.5087514016868997,0.5364926137194675,0.0005153256800566382,-0.0042340319298491,-0.004894287571166196,-0.0035051907202410196,-11.83702470975562,-0.002298473604874766,0.5270342742918434,0.552820437813856,0.00040575981718440077,-0.0052050331674666625,-0.006102138201042896,-0.004283902960236379,-10.536542709628552,-0.0005390703653343335,0.5521427526692994,0.5718346253229974,0.0013285427083183864,-0.007252089265010862,-0.008453295962712777,-0.005981519682459006,-10.909332190017032
train,2.5,-1,9884,503,0.06533342940990962,-0.0011650635282570755,0.462363415621206,0.4808883043302307,-0.0006650635282570749,-0.0006783679243176452,-0.0012134591915855992,-0.00017045140997665816,-2.4920877555454535,-0.0035140241939694257,0.44880615135572643,0.47387697288547137,-0.0003254546215687844,-0.002429559520712056,-0.0031929570244295415,-0.0015567334268156096,-5.434540420878138,-0.002116441804675416,0.45902468636179683,0.46563132335087004,0.000333487055677027,-0.00048107166126696297,-0.0013930621363575867,0.0004073750473184832,-0.9674558466563028,0.0003109977329380969,0.4650951031970862,0.4508296236341562,0.00019223931291473265,0.0037556048253626563,0.0025765508039583803,0.005004900606287045,5.752302526327557,-0.0028415459136201904,0.42604208822339135,0.4399939295831647,0.00021532936903445333,0.0032049390190139935,0.0014963386897964234,0.004966111532601966,3.549035935247393
train,2.5,1,11595,503,-0.057678120940391014,0.0008971482436268771,0.5136696852091419,0.5069167744717551,0.0013971482436268773,0.0011897636681360599,0.0006319419900796714,0.0017654138828561055,4.319836405183404,-0.00407148893090478,0.49021129797326435,0.52625269512721,0.000816252909260578,-0.004652209956940002,-0.005501369041924156,-0.0037493497315961594,-10.499045850685851,-0.006216884555711902,0.49288486416558863,0.5376541612764123,0.0008436602794230845,-0.007612354481468972,-0.008558258002619975,-0.006562115641035491,-14.262918696605869,-0.005438370591397119,0.5141009055627426,0.5554549374730487,0.0009644075174758375,-0.008587361578031428,-0.010162958418749122,-0.007098597937317059,-11.155929359821346,-0.005644094944781197,0.5341957740405348,0.5780681328158689,0.001482726262418595,-0.013223935170697122,-0.015207518822404021,-0.011289255864320428,-13.418865364278242
