rule,period,n,mean_ret,hit,avg_r,pf,target_rate,stop_rate,avg_bars,ret_per_bar_bp
time 10,test,1391,0.008873638502482304,0.5744069015097053,,,0.0,0.0,9.983465132997843,8.888335246599615
time 10,train,1792,0.015946376989695938,0.64453125,,,0.0,0.0,10.0,15.946376989695938
time 10,all,3183,0.012855525831758719,0.6138862708136977,,,0.0,0.0,9.99277411247251,12.864821807302794
time 20,test,1391,0.015294169884094374,0.5729690869877786,,,0.0,0.0,19.916606757728253,7.6791042119460275
time 20,train,1792,0.02734968464217594,0.6462053571428571,,,0.0,0.0,20.0,13.67484232108797
time 20,all,3183,0.02208131485628481,0.6142004398366321,,,0.0,0.0,19.963556393339616,11.060812222641722
time 40,test,1391,0.032126113191982685,0.595255212077642,,,0.0,0.0,39.43206326383896,8.147205733828244
time 40,train,1792,0.032486353232458264,0.6361607142857143,,,0.0,0.0,40.0,8.121588308114566
time 40,all,3183,0.03232892505265885,0.6182846371347785,,,0.0,0.0,39.75180647188187,8.132693309303178
time 60,test,1391,0.04647951915121096,0.6089144500359454,,,0.0,0.0,58.54493170381021,7.9391192027278406
time 60,train,1792,0.04184314247694522,0.6188616071428571,,,0.0,0.0,60.0,6.97385707949087
time 60,all,3183,0.0438692813251713,0.6145146088595664,,,0.0,0.0,59.3641218975809,7.389864437118707
pattern target / pattern stop (60),test,1391,0.02260560667649181,0.4586628324946082,0.3287700007998883,1.639298051887175,0.3199137311286844,0.511861969805895,24.443565780014378,9.248080611452636
pattern target / pattern stop (60),train,1792,0.021869916982079417,0.48716517857142855,0.4415027498976572,1.9144874688446558,0.3158482142857143,0.47265625,28.686941964285715,7.623648769989751
pattern target / pattern stop (60),all,3183,0.022191420081334092,0.4747093936537857,0.3922354149645012,1.7899296204418655,0.3176248821866164,0.489789506754634,26.832547910775997,8.270336516355192
pattern target / 2 ATR stop (60),test,1391,0.021294863226904732,0.40618260244428467,0.37639769545947216,1.647644237446537,0.29259525521207763,0.5693745506829619,21.800862688713156,9.767899340024561
pattern target / 2 ATR stop (60),train,1792,0.022076915530664272,0.44029017857142855,0.44461985286595995,1.810856096562066,0.2974330357142857,0.5412946428571429,25.697544642857142,8.591060289022883
pattern target / 2 ATR stop (60),all,3183,0.021735151548719717,0.4253848570530946,0.41479677902798867,1.7371644710147383,0.29531888155827835,0.5535658184103047,23.994659126610117,9.058328953135824
no target / pattern stop (20),test,1391,0.017032652162110425,0.5017972681524083,0.2786183992666951,1.6694975755400558,0.0,0.38102084831056793,15.657800143781452,10.878062055783104
no target / pattern stop (20),train,1792,0.024758272757005702,0.5747767857142857,0.4376939231763025,2.2956547202588173,0.0,0.3041294642857143,16.494977678571427,15.009582455615623
no target / pattern stop (20),all,3183,0.021382106169666924,0.5428840716305372,0.36817351159364037,1.9895670783613393,0.0,0.3377316996544141,16.129123468426013,13.256830857252737
no target / 2 ATR stop (20),test,1391,0.01618501220592099,0.4716031631919482,0.3085450636568672,1.6387948259304794,0.0,0.45794392523364486,14.722501797268153,10.993384432069972
no target / 2 ATR stop (20),train,1792,0.024395093993913066,0.5479910714285714,0.4880164887475386,2.239848325055635,0.0,0.36495535714285715,15.741071428571429,15.497734131130251
no target / 2 ATR stop (20),all,3183,0.020807213451312694,0.5146088595664468,0.40956119261267876,1.9465435678681329,0.0,0.40559220860823125,15.295947219604146,13.603089205645924
no target / 3 ATR stop (40),test,1391,0.025465909633399987,0.4766355140186916,0.30894904292836706,1.6657273226853122,0.0,0.43421998562185476,28.846153846153847,8.82818200624533
no target / 3 ATR stop (40),train,1792,0.025877262596425237,0.5357142857142857,0.37704608898308234,1.9297316021023623,0.0,0.38058035714285715,31.327566964285715,8.260220982346322
no target / 3 ATR stop (40),all,3183,0.02569749760378681,0.5098963242224317,0.34727770712823974,1.805503730471641,0.0,0.40402136349355955,30.243166823751178,8.496959909504426
+1 height target / pattern stop (60),test,1391,0.021482029324843978,0.4694464414090582,0.33091689412979536,1.650677517186976,0.37598849748382457,0.507548526240115,22.882818116462975,9.387842535613563
+1 height target / pattern stop (60),train,1792,0.02227228979004676,0.4994419642857143,0.4374441751550816,1.9197303719049834,0.38560267857142855,0.46707589285714285,26.354910714285715,8.450906941594774
+1 height target / pattern stop (60),all,3183,0.021926938766767757,0.48633364750235625,0.39088880170952206,1.7976955782113517,0.38140119384228716,0.4847628023876846,24.837574615142948,8.828132016319888
+2 ATR target / 2 ATR stop (20),test,1391,0.008136297865017924,0.5815959741193386,0.15958564378956291,1.4058577716199359,0.5377426312005751,0.3788641265276779,8.493170381020848,9.579812366886689
+2 ATR target / 2 ATR stop (20),train,1792,0.014716231943074165,0.6389508928571429,0.28476399600153235,1.867544468702093,0.5931919642857143,0.3125,8.787388392857142,16.746991580611486
+2 ATR target / 2 ATR stop (20),all,3183,0.011840740801831241,0.6138862708136977,0.23004272386864438,1.6450271710368614,0.5689601005340873,0.34150172792962613,8.658812441093309,13.674786100732499
