filter,period,n,ret,hit,xloc,xloc_lo,xloc_hi,avg_r,pf,target_rate,per_year
all,train,1792,0.027349684642175933,0.6462053571428571,0.023135858780031722,0.01903539547782147,0.02767871733509356,0.44150274989765725,1.9144874688446558,0.3158482142857143,286.82208588957053
all,test,1373,0.015842400962998795,0.5753823743627094,0.006961523059533569,0.001469308392378885,0.011940064428420388,0.32877000079988805,1.639298051887175,0.3199137311286844,380.00205684367984
beaten down (6m return < -8%),train,597,0.04027862512440072,0.678391959798995,0.049082481884792445,0.04061976134825607,0.05715856013185825,0.4403323644187982,1.909430648007146,0.21775544388609716,95.55400964066608
beaten down (6m return < -8%),test,360,0.022075480238751347,0.6027777777777777,0.03198163482107318,0.0207777161333232,0.04396543369315386,0.3875697654082377,1.7686213674497457,0.1994535519125683,99.98616305160807
below 200-day MA,train,1032,0.029999080338808676,0.6560077519379846,0.03383645380449364,0.027411661175235486,0.039662688595063694,0.4500086917587513,1.9002183925200746,0.2315891472868217,165.17879053461874
below 200-day MA,test,724,0.014918800806989556,0.5787292817679558,0.016692454412478745,0.008829520315465954,0.024503438433656013,0.374125497287729,1.7093092221774382,0.23978201634877383,200.518698578908
beaten down AND below 200-day MA,train,592,0.04003140423639024,0.6807432432432432,0.0490771106313696,0.04105816476494128,0.057747504517789386,0.44557440120985675,1.9189077675777237,0.2179054054054054,94.75372480280456
beaten down AND below 200-day MA,test,357,0.022345690967466466,0.6050420168067226,0.0322935117229915,0.021343759762478678,0.04340377741861028,0.38983119997274784,1.7729860401853959,0.20110192837465565,99.1666043380703
beaten down AND high volatility,train,423,0.04481237298791192,0.6737588652482269,0.05419556495967023,0.04275879680036016,0.06486744124386151,0.30673352090708816,1.6142399677539674,0.20094562647754138,67.704097283085
beaten down AND high volatility,test,207,0.030377516442027276,0.5942028985507246,0.041310548965386516,0.026050489965550577,0.0581913593011612,0.3865345998200411,1.802409482052914,0.17061611374407584,57.6422961854899
uptrend (6m return > 4%),train,597,0.02256361125117096,0.6197654941373534,0.002693955856650704,-0.004822887592357356,0.010169360112020676,0.4927471411433271,2.090917865240205,0.4338358458961474,95.55400964066608
uptrend (6m return > 4%),test,552,0.01431584796217171,0.5543478260869565,-0.008623914950324576,-0.016806519917044457,0.0006183520624654726,0.2801869790135555,1.5494326188054668,0.407871198568873,152.71110695587134
above 200-day MA,train,760,0.023752084169906207,0.6328947368421053,0.008605577115236053,0.0029844303690780955,0.015288053436093045,0.42994454393865084,1.935578841729645,0.43026315789473685,121.64329535495179
above 200-day MA,test,649,0.016872734573092307,0.5716486902927581,-0.003893938110778149,-0.01147898145731152,0.003742829280628059,0.2780133917531898,1.5565678453333962,0.4094368340943683,179.48335826477188
SPY below its 200-day MA,train,488,0.044960474767890043,0.7151639344262295,0.04661363065389805,0.03764802652288038,0.054904583515848565,0.28114087020692613,1.5469170733137143,0.22336065573770492,78.10780017528484
SPY below its 200-day MA,test,148,0.056434463558416116,0.7027027027027027,0.049797945890441814,0.030915530659266912,0.06934418609219516,0.6772647419861381,2.5149684744089527,0.3108108108108108,40.43156320119671
