feature,train_T1_xloc,train_T3_xloc,train_gap,train_n,test_T1_xloc,test_T3_xloc,test_gap,test_n,consistent
atr_pct,0.00033867944335894454,0.012684936104980258,0.012346256661621313,1045,0.0074282139992360285,0.026881013773446243,0.019452799774210217,672,True
dist_ma200,0.016433682271807266,-0.0007418813887022056,-0.01717556366050947,1045,0.03064366693858842,0.008681359656357284,-0.021962307282231135,667,True
prior_trend,-0.0017040994527257023,0.010216967467857586,0.01192106692058329,1045,0.0029647546773943125,0.03700120343939999,0.03403644876200568,667,True
ret_126,0.01636091791354392,-0.0060659285480142225,-0.022426846461558143,1045,0.032095335607542914,0.004203098820145185,-0.02789223678739773,670,True
breakout_close_strength,0.00972444612383096,-0.004556416787386735,-0.014280862911217695,1045,0.01620788875960822,0.015695729626074868,-0.0005121591335333527,672,False
breakout_vol_ratio,0.008004343701385972,-0.000724432873234337,-0.00872877657462031,1045,0.023008952736940348,0.02043989878888556,-0.002569053948054789,672,False
dist_ma50,0.008190759517582096,0.010259156669786827,0.002068397152204731,1045,0.010050484544296296,0.023308234625261187,0.013257750080964891,672,False
gap_from_level,0.0013252960436440661,0.012581792746477517,0.01125649670283345,1045,0.014138911767000528,0.016950390251611776,0.002811478484611248,672,False
scale,0.005658147270095041,0.0020930098982127176,-0.003565137371882323,1045,0.020190030621733603,0.008353155542705484,-0.01183687507902812,672,False
score,0.00684978075484076,-0.0014774353436958925,-0.008327216098536653,1045,0.010462746158599975,0.02909928826568581,0.018636542107085836,667,False
volume_trend,0.002153899150829224,0.005510539532614882,0.003356640381785658,1045,0.01671328507003283,0.014879026921743385,-0.0018342581482894468,671,False
width,0.009256501339933323,-7.307695737450638e-05,-0.00932957829730783,1045,0.014155471319433663,0.01528590745327131,0.0011304361338376478,672,False
