filter,period,n,ret,hit,xloc,xloc_lo,xloc_hi,avg_r,pf,target_rate,per_year
all,train,1045,0.010637458251534716,0.5712918660287082,0.004986059172237798,-0.0007290653206594657,0.010187137133328082,0.1623887383913834,1.3473315592802784,0.3722488038277512,169.71376167185414
all,test,672,0.020940811368541208,0.5982142857142857,0.017459799018683962,0.009844485696403145,0.024371597685940157,0.28740493746181334,1.7127134888405544,0.40995607613469986,187.42731029301277
beaten down (6m return < -1%),train,348,0.0092697349459951,0.5660919540229885,0.016338613325769667,0.006813195550661579,0.025382907342304008,0.2006721968051773,1.385523856982521,0.35919540229885055,56.517118719430854
beaten down (6m return < -1%),test,249,0.022768555011911818,0.6024096385542169,0.032095335607542914,0.021211153408032642,0.043985084305975954,0.31472014999800757,1.6935694461436235,0.3675889328063241,69.42768595041322
below 200-day MA,train,289,0.010512051200172243,0.5536332179930796,0.0173987641969711,0.005653609608823518,0.030252214174939923,0.11587064018042612,1.208288337172087,0.3633217993079585,46.93519341929746
below 200-day MA,test,208,0.022122293073114155,0.5961538461538461,0.03268226489410031,0.01881890720794966,0.04519560908673433,0.31934000572127996,1.6636794325397404,0.3952380952380952,57.62772351615327
beaten down AND below 200-day MA,train,243,0.00913312723598658,0.5432098765432098,0.018303250844479993,0.006246555597098041,0.029720082697475215,0.14207817915040505,1.2553307479981448,0.3662551440329218,39.464539795464646
beaten down AND below 200-day MA,test,176,0.018474710834039263,0.5852272727272727,0.031024393704892992,0.017023984370748858,0.04593400789802817,0.307440309117063,1.6162653133409497,0.38202247191011235,48.84635612321563
beaten down AND high volatility,train,203,0.014429575672649889,0.5615763546798029,0.021793808923691572,0.005284815661222909,0.03791023338543698,0.15513575342178604,1.3063978046905136,0.4088669950738916,32.96831925300133
beaten down AND high volatility,test,145,0.027202381206582468,0.6206896551724138,0.03819424204596431,0.018874223443007095,0.05654522943477685,0.3764153561370751,1.8672379663651375,0.3918918918918919,40.61382419233659
uptrend (6m return > 11%),train,348,0.0127633319925125,0.5632183908045977,-0.0060659285480142225,-0.0157310666573038,0.0036245983266079444,0.10304573000152585,1.2295161187710786,0.4051724137931034,56.517118719430854
uptrend (6m return > 11%),test,196,0.021427988238822426,0.5969387755102041,0.0038837392495863136,-0.011330384311366015,0.017281234546262788,0.2584542688040545,1.6787534951994325,0.4723618090452261,54.60912847483095
above 200-day MA,train,756,0.010685398248682537,0.578042328042328,0.00024099071701567655,-0.006359957223394097,0.006296817286165629,0.18019500379928624,1.4156229474143005,0.37566137566137564,122.77856825255668
above 200-day MA,test,464,0.02041118163890506,0.5991379310344828,0.01063593500556629,0.0030612604413068093,0.0179025712276273,0.27319653844806757,1.7411925685520107,0.4164904862579281,129.7995867768595
SPY below its 200-day MA,train,238,0.02491493268024355,0.634453781512605,0.027162224558184674,0.015724873746937835,0.039419916709293734,0.2123016313575002,1.4644333408548813,0.3949579831932773,38.652512227656736
SPY below its 200-day MA,test,52,0.02057362185801281,0.6153846153846154,0.025746228497581056,0.004948101793098451,0.04577510967955335,0.08928272410184362,1.1961396043291284,0.2692307692307692,14.269722013523667
