group,hold,target,stop,n,net_ret,hit,hit_lo,rand_net,rand_hit,excess,excess_lo,excess_hi,p,profit_factor,target_rate,stop_rate,avg_bars
bearish,1,0.01,,22726,-8.305583856357582e-05,0.6147144240077445,0.6083681794923339,-0.0005775188147438576,0.5747205843527238,0.0004944629761802817,0.00030598105625128015,0.0006468517864005273,0.0,0.9844225246587603,0.5207251606089941,,1.0
bullish,1,0.01,,25700,-0.00022091639326880908,0.5957198443579766,0.5897059627797385,-0.00035817796336809043,0.5890661478599222,0.0001372615700992813,-4.259844706898929e-05,0.00029887130632386285,0.03,0.9567656836796453,0.47077821011673154,,1.0
bearish,1,0.01,0.02,22726,-0.0018775826502326037,0.5348059491331515,0.5283156151835205,-0.0016187118195711966,0.5222168441432721,-0.00025887083066140703,-0.000430788177777768,-0.00011658634114827086,1.0,0.7062608799999298,0.4446889025785444,0.22960485787204082,1.0
bullish,1,0.01,0.02,25700,-0.001161833538415653,0.5475486381322957,0.5414566148005313,-0.0014405704050036029,0.5364863813229572,0.00027873686658795,0.0001242923110225384,0.0004262407220272412,0.0,0.7930600753031123,0.4257587548638132,0.1838910505836576,1.0
bearish,1,0.02,,22726,-9.820452788725008e-05,0.5154448649124351,0.5089451387068467,-0.00063810011955678,0.49272639267798995,0.0005398955916695298,0.00030629361548382294,0.0007618777402777517,0.0,0.9851469353004415,0.24421367596585408,,1.0
bullish,1,0.02,,25700,-0.0003227342100532168,0.5130350194552529,0.5069225333348946,-0.00038382751022883926,0.5115486381322957,6.109330017562247e-05,-0.00013538713444760837,0.0002529538650283814,0.238,0.9466589578373893,0.1862645914396887,,1.0
bearish,1,0.02,0.02,22726,-0.0009687681600102191,0.47153040570271937,0.46504554400149595,-0.0010105418853343885,0.4644372084836751,4.177372532416958e-05,-0.00015942783815088416,0.00022061188574099865,0.306,0.8569292246619711,0.21129983279063627,0.22960485787204082,1.0
bullish,1,0.02,0.02,25700,-0.0005627445723042441,0.49023346303501947,0.4841234735409204,-0.0008087739028909197,0.4835992217898833,0.0002460293305866757,8.200931267305423e-05,0.0004176801385544715,0.0,0.9055576894862934,0.1717898832684825,0.1838910505836576,1.0
bearish,1,,,22726,-0.0005438185062976716,0.4793628443192819,0.4728716532003985,-0.0007181639868032044,0.4719748305905131,0.000174345480505533,-8.801291018157759e-05,0.00042226608354279944,0.078,0.9253436652499464,,,1.0
bullish,1,,,25700,-0.0003684800220683559,0.4940077821011673,0.48789650138546786,-0.00034744171285302713,0.4923190661478599,-2.103830921532861e-05,-0.00024098630509671834,0.00020980830658545577,0.544,0.9416098869637991,,,1.0
bearish,1,,0.02,22726,-0.0005057502768272241,0.45502948165097246,0.4485632052594856,-0.0006607355106820278,0.4534321922027634,0.00015498523385480388,-6.591165395013004e-05,0.0003596285594159263,0.074,0.9265095688879779,,0.22960485787204082,1.0
bullish,1,,0.02,25700,-0.00028851057579718675,0.4795719844357977,0.4734675253258309,-0.0004286690025996084,0.47375486381322957,0.00014015842680242192,-6.174088980270548e-05,0.0003484914429598356,0.074,0.9521285916956066,,0.1838910505836576,1.0
bearish,2,0.01,,22719,-0.00036915448811658227,0.6902152383467582,0.6841706052437165,-0.0008231211087113084,0.651481139134645,0.00045396662059472604,0.00021211975865580282,0.0006994155299973142,0.0,0.9463644327396268,0.6518332673093006,,1.4791143976407413
bullish,2,0.01,,25698,0.00020545529351774763,0.6844890652969102,0.6787799048216261,-5.019802469022854e-05,0.6770526889252082,0.0002556533182079761,2.949792156400273e-05,0.0004677110579056001,0.008,1.03335222894323,0.6267413806521909,,1.529185150595377
bearish,2,0.01,0.02,22723,-0.002166135728246265,0.5753201601901158,0.5688809509254517,-0.0018965567610038044,0.5687409232935792,-0.00026957896724246025,-0.0004673228012324249,-7.800866861117963e-05,1.0,0.7135441082824228,0.5435461866830964,0.3212603969546275,1.3256172160366149
bullish,2,0.01,0.02,25699,-0.0008850935105778036,0.6063660064593953,0.6003772704249491,-0.0013128910379100306,0.592096968753648,0.00042779752733222725,0.00025651066829814945,0.000604127748644266,0.0,0.8637504402805933,0.5552356122806335,0.2675590489902331,1.3903264718471535
bearish,2,0.02,,22710,-0.0005541262162210455,0.5543372963452223,0.5478641053499314,-0.0010766908952857862,0.5242756494936152,0.0005225646790647404,0.000190185984904439,0.0008240187702184214,0.0,0.9418949799612438,0.39202994275649494,,1.7556142668428005
bullish,2,0.02,,25694,0.0003133821329547282,0.5631664980151008,0.5570926997316953,0.00018339647059702525,0.5602125009729898,0.00012998566235770267,-0.00014496835731363515,0.00039309548957833045,0.172,1.0383693028589482,0.343815676811707,,1.813691912508757
bearish,2,0.02,0.02,22715,-0.00140422652722799,0.4715826546335021,0.46509617682609883,-0.001434409851311156,0.46384327536869907,3.018332408316616e-05,-0.00021258363260953712,0.0003047391987192842,0.424,0.8440415998611468,0.3313669381465992,0.3684349548756328,1.5588817961699317
bullish,2,0.02,0.02,25695,-0.00014968423648249358,0.5074528118310956,0.5013391669724415,-0.0004948390074578554,0.49711617046117923,0.00034515477097536175,0.00012074826041084607,0.0005578910075981031,0.002,0.9806767818216834,0.3075306479859895,0.306830122591944,1.6442498540572095
bearish,2,,,22706,-0.001009592528748596,0.4782876772659209,0.47179440450858945,-0.0013302789470345817,0.46844886814057957,0.0003206864182859858,-0.00011765888338625793,0.0006936467104370145,0.042,0.9106812044875024,,,2.0
bullish,2,,,25690,0.0004801609565910521,0.514441416893733,0.5083280033656075,0.00041793905572803193,0.5109030751265083,6.222190086302017e-05,-0.0003055816813155622,0.0003850388031762195,0.322,1.052750093924123,,,2.0
bearish,2,,0.02,22711,-0.0009006217228970695,0.41539342168993,0.40899911896620794,-0.001122116036264174,0.41998150675883933,0.00022149431336710484,-0.00014354887935318883,0.0005703652331540527,0.066,0.9086713621539436,,0.3974725903747083,1.770243494341949
bullish,2,,0.02,25691,0.00034993401922772823,0.468374138803472,0.46227742169216707,7.34247095694458e-05,0.4583589583900977,0.00027650930965828266,-2.9455220531825333e-05,0.0005438761008450354,0.03,1.0422238603226466,,0.32458837725273443,1.8160445292125647
bearish,3,0.01,,22713,-0.0007185947867500012,0.7288777352177167,0.723058046196655,-0.0010651880780258218,0.6975608682252454,0.0003465932912758206,7.202816854331819e-05,0.0006466331517025391,0.004,0.9080677537106251,0.7095055694976445,,1.8269713380002641
bullish,3,0.01,,25695,0.0002630666401686711,0.7315820198482195,0.726129320946732,0.00022816810666808192,0.7282389569955244,3.489853350058909e-05,-0.00024346156150786063,0.0002770553304585068,0.402,1.0385305864615488,0.699357851722125,,1.9023156256080949
bearish,3,0.01,0.02,22720,-0.002256186946854017,0.5909330985915493,0.5845250485579222,-0.0020046388457628235,0.5884947183098591,-0.00025154810109119334,-0.0004408897533077938,-7.56685520051706e-05,0.992,0.7161051882021476,0.5773767605633803,0.3563820422535211,1.4606073943661972
bullish,3,0.01,0.02,25698,-0.0008378615879390691,0.629543155109347,0.6236196362078359,-0.0012649571704096624,0.6152813448517395,0.00042709558247059325,0.00022768475320231898,0.0006088813815906802,0.0,0.8782624107975108,0.6042882714608141,0.3039147015331932,1.5674760681765119
bearish,3,0.02,,22686,-0.001307502541061044,0.5773604866437451,0.5709197743394429,-0.0015023519341702655,0.5524067706955832,0.00019484939310922156,-0.00019127029994210837,0.0006056987670463367,0.128,0.8872551745147421,0.47205324869963855,,2.362911046460372
bullish,3,0.02,,25691,0.0004614692367832696,0.5979525904013079,0.5919427079746896,0.0006355426117150681,0.5969911642209333,-0.00017407337493179878,-0.0005293535772469166,0.00017011063176255463,0.844,1.047626506296314,0.44396870499396673,,2.469814331867191
bearish,3,0.02,0.02,22700,-0.0016193916969954054,0.46801762114537443,0.46153241136526174,-0.0016439271311952206,0.4622114537444934,2.4535434199815152e-05,-0.00025221009428202316,0.00028371912540707886,0.398,0.837062530487342,0.3858149779735683,0.43030837004405287,1.8583259911894272
bullish,3,0.02,0.02,25694,1.5562531718555762e-06,0.5135440180586908,0.5074309075263937,-0.000351121085621351,0.501498404296723,0.0003526773387932066,9.680254168783104e-05,0.0005928437292925404,0.0,1.0001784967307623,0.3847980073168833,0.3720713006927687,2.0298513271580916
bearish,3,,,22676,-0.0021391283729922535,0.4663520903157523,0.4598651605341635,-0.0020313443445152336,0.46334009525489506,-0.00010778402847701993,-0.0006142083042277533,0.0003849943678128729,0.676,0.8548208963052607,,,3.0
bullish,3,,,25680,0.0009518431298837371,0.5202492211838006,0.5141362137453716,0.0012025249241655116,0.5187110591900311,-0.00025068179428177457,-0.0007093618505884006,0.0001830434177112289,0.892,1.0830375271849513,,,3.0
