group,hold,target,stop,n,net_ret,hit,hit_lo,rand_net,rand_hit,excess,excess_lo,excess_hi,p,profit_factor,target_rate,stop_rate,avg_bars
Ascending Triangle,1,0.01,,3163,-0.00019114376413641894,0.5776161871640847,0.5603182994378344,-0.00029858298718614954,0.5775213404995257,0.00010743922304973047,-0.0003455505273418319,0.000489479926509889,0.282,0.9594447201703965,0.42017072399620614,,1.0
Bear Flag,1,0.01,,4742,-0.00048477691685141534,0.6374947279628849,0.6237058496580641,-0.00047363154978327475,0.6153099957823703,-1.1145367068140687e-05,-0.0004888868085457163,0.00046478565130596435,0.524,0.9207871504316973,0.5714888232813159,,1.0
Bull Flag,1,0.01,,7707,-0.0007294189603288278,0.5930971843778383,0.5820855827815697,-0.0003472005039837532,0.6082262877903205,-0.00038221845634507445,-0.0007138215300182361,-3.6569421459874875e-05,0.994,0.8713495719030403,0.48086155443103673,,1.0
Cup and Handle,1,0.01,,1224,-0.00012715715386291113,0.5743464052287581,0.546456138764486,-0.00018409932553593197,0.5825980392156863,5.694217167302096e-05,-0.0006889890975899716,0.0007363207332705585,0.428,0.9728099701348489,0.42320261437908496,,1.0
Descending Triangle,1,0.01,,1644,-2.8566541488839974e-05,0.6137469586374696,0.5899715662894129,-0.0006155308404596574,0.5751824817518248,0.0005869642989708173,-3.791062774469978e-05,0.0012466127428036138,0.032,0.9944664801224595,0.504257907542579,,1.0
Double Bottom,1,0.01,,5597,-0.00029503796321179494,0.604430945149187,0.5915531033151945,-0.0005050244211812154,0.5815615508308022,0.00020998645796942042,-0.00019507036500411739,0.0005944686426313754,0.082,0.9452938158320668,0.5006253350008933,,1.0
Double Top,1,0.01,,6109,-8.358106081561944e-05,0.6307087903093797,0.6185278149547396,-0.0006764759757317226,0.5682108364707809,0.000592894914916103,0.00024248476342422925,0.0009609327030584381,0.0,0.9850137420525202,0.5522998854149616,,1.0
Falling Wedge,1,0.01,,3183,0.0005419369577807641,0.6154571159283695,0.5984266844736056,-0.00038552002884248584,0.5811812755262331,0.0009274569866232499,0.0004893912271515052,0.0013877134996399835,0.0,1.1196469034178511,0.4875903235940936,,1.0
Head and Shoulders,1,0.01,,1782,0.0004752611538088579,0.6386083052749719,0.6160268214089049,-0.0006354226592840285,0.5774410774410774,0.0011106838130928863,0.0004341825696573994,0.0017994420041044647,0.0,1.093109244467919,0.5606060606060606,,1.0
Inverse Head and Shoulders,1,0.01,,1728,5.515169388796593e-05,0.5931712962962963,0.5698271893216529,-0.0003620098018668262,0.5829861111111111,0.0004171614957547921,-0.00020846758802844917,0.0010133284868547399,0.074,1.011416370147039,0.47627314814814814,,1.0
Inverted Cup and Handle,1,0.01,,564,0.0012336004655923059,0.6808510638297872,0.6412668830847673,-0.0004273157224694166,0.5709219858156028,0.0016609161880617221,0.0006215638872331695,0.002830149404075808,0.0,1.2613309496377323,0.5921985815602837,,1.0
Rectangle,1,0.01,,1337,0.00010630078208655833,0.6050860134629769,0.5786178167709185,-0.00028329952811569173,0.5798803290949888,0.00038960031020225,-0.0003381722968104854,0.0010838030579841055,0.108,1.0217783172040154,0.4824233358264772,,1.0
Rising Wedge,1,0.01,,5611,7.451235883557126e-06,0.5731598645517733,0.560171990354307,-0.0006202442110400044,0.5502940652290145,0.0006276954469235615,0.00028059990655306084,0.0009316064975206181,0.0,1.0016017962643078,0.44644448404918907,,1.0
Symmetrical Triangle,1,0.01,,3678,-2.9445518169982864e-05,0.5908102229472539,0.5748330172306462,-0.0002761688989554438,0.5747145187601957,0.0002467233807854609,-0.0001972227632058813,0.0006691038227814493,0.098,0.9937744460997652,0.44480696030451333,,1.0
