group,hold,target,stop,n,net_ret,hit,hit_lo,rand_net,rand_hit,excess,excess_lo,excess_hi,p,profit_factor,target_rate,stop_rate,avg_bars
bearish,1,0.01,,2009,-0.0004093775141180637,0.6097560975609756,0.5882349085058507,-0.0007792360055896987,0.5821304131408661,0.0003698584914716352,-0.00023010826554732786,0.0010089769183085982,0.13,0.9277586454773731,0.5246391239422599,,1.0
bullish,1,0.01,,2097,0.00025269966933022753,0.6232713400095374,0.6023236228593344,-0.00036334099960983694,0.5957081545064378,0.0006160406689400646,-9.694728094032618e-06,0.001163098472734298,0.012,1.0499882037305468,0.5259895088221268,,1.0
bearish,1,0.01,0.02,2009,-0.0022401910397403784,0.5266301642608263,0.5047668312512046,-0.0018942378264783445,0.5235440517670483,-0.00034595321326203317,-0.0009433957491993937,0.00019598388718556514,0.932,0.6664272681486791,0.4435042309606769,0.24738675958188153,1.0
bullish,1,0.01,0.02,2097,-0.000898679862973668,0.5660467334287077,0.5447319035528383,-0.0014437034413938368,0.5440629470672389,0.0005450235784201692,2.0843913894902568e-05,0.0010327740614112706,0.012,0.842103774533438,0.47305674773485934,0.19456366237482117,1.0
bearish,1,0.02,,2009,-0.00032320082025846043,0.514186162269786,0.49232441201552385,-0.0009282694746482628,0.4920856147336984,0.0006050686543898024,-0.0001827737443606822,0.0014034573101807334,0.06,0.9536777218615416,0.25684420109507217,,1.0
bullish,1,0.02,,2097,-8.073903216136314e-06,0.5164520743919886,0.495052477225525,-0.0002754947707830838,0.5124940391034811,0.00026742086756694747,-0.0004715616439538189,0.0009247570709919958,0.204,0.9987060680110502,0.2217453505007153,,1.0
bearish,1,0.02,0.02,2009,-0.0012459414828942465,0.46938775510204084,0.447643627370396,-0.0012200848106757836,0.46152314584370335,-2.5856672218462885e-05,-0.0007877341816002176,0.0006439273911732616,0.574,0.8247969995800082,0.22000995520159283,0.24738675958188153,1.0
bullish,1,0.02,0.02,2097,-0.0003756133479771142,0.48736289938006677,0.4660117558306406,-0.0007065153608355914,0.4848831664282308,0.00033090201285847736,-0.00026827964664213747,0.0008805734525695191,0.138,0.9392302513846674,0.20314735336194564,0.19456366237482117,1.0
bearish,1,,,2009,-0.0007068390088486534,0.4763563962170234,0.4545824578043832,-0.0009061714734329689,0.4704330512692882,0.00019933246458431582,-0.0007444388822345594,0.0010547477921772801,0.32,0.9068356585734552,,,1.0
bullish,1,,,2097,0.0002105607527053203,0.4988078206962327,0.4774289920690544,-0.00020959254472811945,0.49303767286599903,0.00042015329743343974,-0.00041694285749851496,0.0011574078767214884,0.138,1.0325640888390564,,,1.0
bearish,1,,0.02,2009,-0.000733397210618984,0.4539571926331508,0.43229424854588366,-0.0007597576526319587,0.44947735191637633,2.6360442012974926e-05,-0.0008389889863679193,0.0008440669951162206,0.496,0.8981766246990659,,0.24738675958188153,1.0
bullish,1,,0.02,2097,0.00013961230783689606,0.4783023366714354,0.4569810482821852,-0.0003030878782466014,0.47362899380066764,0.00044270018608349765,-0.00024573321655178463,0.0011037989725558178,0.086,1.022419449588036,,0.19456366237482117,1.0
bearish,2,0.01,,2008,-0.0006226592901270665,0.6952191235059761,0.6747281845361567,-0.0009984141183892233,0.6686752988047808,0.0003757548282621568,-0.0004542657274774473,0.0012483936148805564,0.174,0.9132019194416962,0.6593625498007968,,1.4750996015936255
bullish,2,0.01,,2096,0.000546764062067459,0.7084923664122137,0.6886690244357148,-2.1968442894183347e-05,0.6861641221374046,0.0005687325049616421,-0.0001849803963666514,0.0013351403262246745,0.06,1.0886845861647656,0.666030534351145,,1.473759541984733
bearish,2,0.01,0.02,2009,-0.0023218439956674427,0.5759084121453459,0.5541727944311458,-0.002180541751743625,0.574713787954206,-0.00014130224392381728,-0.0008252815420799975,0.0004961812356018143,0.724,0.7010319840745093,0.5490293678446988,0.3359880537580886,1.3091090094574416
bullish,2,0.01,0.02,2096,-0.0008386918126822154,0.6183206106870229,0.597324288089012,-0.0013287209092283116,0.5988549618320611,0.0004900290965460964,-0.00017882650237079949,0.001065565524132708,0.042,0.8743824054149134,0.5844465648854962,0.2838740458015267,1.33206106870229
bearish,2,0.02,,2006,-0.0010488054941550765,0.555333998005982,0.5335025020072415,-0.0014889234675882585,0.5291625124626121,0.0004401179734331817,-0.0006440873413105982,0.0014740381726245963,0.186,0.8953691747434157,0.3913260219341974,,1.7427716849451644
bullish,2,0.02,,2095,0.0002565134145163799,0.5689737470167064,0.5476603814648939,0.0003676034355336384,0.5681145584725537,-0.00011109002101725877,-0.001128447729312572,0.000824504767165078,0.554,1.029193548302808,0.38090692124105013,,1.7780429594272076
bearish,2,0.02,0.02,2007,-0.0017814319623842695,0.46985550572994517,0.44809846053953983,-0.0017207060701138394,0.46263079222720477,-6.072589227042969e-05,-0.0008634073595932391,0.0007822207579533308,0.586,0.8089326384437543,0.3273542600896861,0.38714499252615847,1.5321375186846038
bullish,2,0.02,0.02,2095,-0.0002443016493648365,0.5031026252983294,0.48170610354803844,-0.000403361156120016,0.49980906921241053,0.0001590595067551794,-0.0006882505718734288,0.000979309544351346,0.266,0.9704648714955598,0.3379474940334129,0.3341288782816229,1.601909307875895
bearish,2,,,2006,-0.0015735461588416383,0.47756729810568294,0.4557723971703944,-0.001753351088957156,0.4675972083748754,0.00017980493011551793,-0.0012607648016163145,0.0015596463638968359,0.424,0.8674053339125075,,,2.0
bullish,2,,,2094,0.0001778045102861818,0.5105062082139447,0.4890953326719728,0.0004681745336495472,0.51189111747851,-0.00029037002336336536,-0.0016120196384302068,0.0009811032123185617,0.678,1.0176562870840327,,,2.0
bearish,2,,0.02,2007,-0.001340617427436317,0.41504733432984553,0.3936724609998505,-0.0014423414220444367,0.4141006477329347,0.00010172399460812007,-0.000928286562414252,0.0012256470070303282,0.386,0.8688366567902617,,0.41654210264075736,1.752366716492277
bullish,2,,0.02,2094,-4.031860350537777e-05,0.45319961795606495,0.4319827294060762,9.116749131598771e-05,0.45558739255014324,-0.00013148609482136552,-0.0012978607776202224,0.0009291140061959094,0.574,0.9955346548468006,,0.35912129894937916,1.8051575931232091
bearish,3,0.01,,2008,-0.0008288149398739471,0.7400398406374502,0.7204096246142359,-0.001125737979856599,0.7132470119521912,0.0002969230399826521,-0.0006001910983187289,0.0012519965493780227,0.25,0.8970025583262304,0.7221115537848606,,1.8157370517928286
bullish,3,0.01,,2095,0.0010171464938931825,0.7532219570405728,0.7343075531027176,8.462130443822916e-05,0.7349403341288783,0.0009325251894549533,2.7260045708793975e-05,0.0017798845002808797,0.006,1.1589075489169394,0.7317422434367542,,1.8071599045346063
