group,hold,target,stop,n,net_ret,hit,hit_lo,rand_net,rand_hit,excess,excess_lo,excess_hi,p,profit_factor,target_rate,stop_rate,avg_bars
Ascending Triangle,1,0.01,,244,-0.0005438072077525074,0.5819672131147541,0.5192757806613804,-0.0003723780127832508,0.5782786885245902,-0.0001714291949692568,-0.0019657781585662813,0.0016031019808885377,0.582,0.9017852461552184,0.5040983606557377,,1.0
Bear Flag,1,0.01,,461,-0.0018274697126193517,0.6008676789587852,0.5555066524970049,-0.0006587661375494727,0.6206073752711496,-0.0011687035750698788,-0.002944512368051238,0.0003188904369660254,0.944,0.7411725894394477,0.5336225596529284,,1.0
Bull Flag,1,0.01,,657,0.001052556640330807,0.6590563165905632,0.621978049813068,-0.00023631606531648362,0.6182648401826484,0.0012888727056472905,0.0003078564116746994,0.00220240885498883,0.006,1.2288094410616468,0.5662100456621004,,1.0
Cup and Handle,1,0.01,,88,0.0025623186476909973,0.7159090909090909,0.614202221177759,-1.1570556547310651e-05,0.6068181818181818,0.002573889204238308,3.9240447821838955e-05,0.005031621396892285,0.02,1.7352241903327832,0.5795454545454546,,1.0
Descending Triangle,1,0.01,,154,-0.0011268483488108018,0.6038961038961039,0.5250244217036347,-0.0009161771176662282,0.5772727272727273,-0.00021067123114457383,-0.00286949182478837,0.002352948438125925,0.596,0.8281794213427682,0.5454545454545454,,1.0
Double Bottom,1,0.01,,407,-0.0008885338225736539,0.5847665847665847,0.536318103765764,-0.0006349233001078467,0.5786240786240786,-0.00025361052246580714,-0.0016736377608212504,0.0011903694454802865,0.642,0.8497339139229557,0.5012285012285013,,1.0
Double Top,1,0.01,,450,0.0009131126115181235,0.6488888888888888,0.6036956722757486,-0.0005902461072352358,0.5808888888888889,0.0015033587187533591,0.00012523329747891133,0.0026358083167794437,0.006,1.186025744460089,0.5844444444444444,,1.0
Falling Wedge,1,0.01,,336,0.00015963223882698826,0.6220238095238095,0.5690730406071322,-0.0004949971012251817,0.5925595238095238,0.0006546293400521698,-0.0008766419397908626,0.00206519624298107,0.166,1.0319173635832217,0.5059523809523809,,1.0
Head and Shoulders,1,0.01,,173,0.0004593550379737894,0.6011560693641619,0.5267547940584953,-0.0007394835522328482,0.5838150289017341,0.0011988385902066373,-0.0007229020793239272,0.002956555919329877,0.124,1.098523722242147,0.5144508670520231,,1.0
Inverse Head and Shoulders,1,0.01,,128,-0.0006686276415615765,0.6171875,0.5307306786554781,0.00013375843314965171,0.60859375,-0.0008023860747112283,-0.0032778639671406317,0.001887097713586841,0.76,0.889580211825434,0.5390625,,1.0
