pattern,n,n_symbols,n_5,ret_5,med_5,hit_5,hit_lo_5,hit_hi_5,xspy_5,xrand_5,xrand_lo_5,xrand_hi_5,rand_hit_5,p_5,z_5,t_5,xloc_5,xloc_lo_5,xloc_hi_5,loc_hit_5,ploc_5,n_10,ret_10,med_10,hit_10,hit_lo_10,hit_hi_10,xspy_10,xrand_10,xrand_lo_10,xrand_hi_10,rand_hit_10,p_10,z_10,t_10,xloc_10,xloc_lo_10,xloc_hi_10,loc_hit_10,ploc_10,n_20,ret_20,med_20,hit_20,hit_lo_20,hit_hi_20,xspy_20,xrand_20,xrand_lo_20,xrand_hi_20,rand_hit_20,p_20,z_20,t_20,xloc_20,xloc_lo_20,xloc_hi_20,loc_hit_20,ploc_20,n_40,ret_40,med_40,hit_40,hit_lo_40,hit_hi_40,xspy_40,xrand_40,xrand_lo_40,xrand_hi_40,rand_hit_40,p_40,z_40,t_40,xloc_40,xloc_lo_40,xloc_hi_40,loc_hit_40,ploc_40,n_60,ret_60,med_60,hit_60,hit_lo_60,hit_hi_60,xspy_60,xrand_60,xrand_lo_60,xrand_hi_60,rand_hit_60,p_60,z_60,t_60,xloc_60,xloc_lo_60,xloc_hi_60,loc_hit_60,ploc_60,target_rate,stop_rate,time_rate,n_r,avg_r,win_rate_r,profit_factor,avg_reward_risk,avg_bars_held,avg_trade_ret,avg_score,avg_delay,verdict
Ascending Triangle,3163,509,3162,0.001619317393358844,0.0031510713919531003,0.5395319418089817,0.5221211032622199,0.5568468400486519,-0.0008074663071187823,-0.0017491939608646823,-0.0030378832848428896,-0.00034603837599280537,0.5459057856465381,0.9845,-2.225252070806253,-2.546299528706179,-0.0017949254794658671,-0.0031292799300508545,-0.00045032242971461677,0.5533512488144167,0.9955,3157,0.005117214819948841,0.0061842975029899,0.5568577763699715,0.5394705079848708,0.5741068379979205,-0.0002732095119407774,-0.0012415402560565498,-0.0032418632887559764,0.0005929136160084557,0.5582516598166298,0.876,-1.1250585416006056,-1.2615075367399515,-0.003057507223202659,-0.005078896689325412,-0.0011986036256652621,0.5778691116029087,0.9985,3146,0.010869289812923013,0.01155397724005765,0.5718372536554355,0.5544690739535918,0.5890302055022385,0.00027005670713523146,-0.002311560601044643,-0.005111777231521504,0.0005400836866044271,0.5736642428074613,0.938,-1.5574968860699192,-1.5685327739751687,-0.005930426784474317,-0.008912136667842107,-0.0028726398885510988,0.6006797344293392,1.0,3114,0.02057825555197617,0.0178241455131423,0.5895953757225434,0.5722178155212317,0.6067521488284645,0.0014503003559238415,-0.007166518544548485,-0.011432690911599309,-0.002937397692997399,0.5940720834650648,0.9995,-3.3108965593258035,-3.3814348940008068,-0.015344101132867105,-0.01979212855143729,-0.010776481800638227,0.6359310780904205,1.0,3083,0.028951434924293907,0.0302954265459884,0.6016866688290626,0.5842894891631156,0.6188307486877673,0.0008995077416466345,-0.012446256715317978,-0.01727750410312,-0.0074964839133208365,0.6071293076193487,1.0,-4.6962534777050635,-4.885828713485199,-0.026215736233672172,-0.03176796444997155,-0.020502224655502645,0.6562914954157445,1.0,0.30730319317104016,0.5684476762567183,0.12424913057224155,3136,0.20286405679155,0.42028061224489793,1.362236493544457,3.7060286599424197,20.84950995889978,0.010264788974708713,0.7083149252628447,1.0856781536515965,worse than random
Bear Flag,4742,510,4734,-0.008105265515094105,-0.00746536496210695,0.4262779890156316,0.4122556814349665,0.4404198491273046,-0.004027960732588268,-0.004368440326511167,-0.006291081535597128,-0.002521408917052907,0.46218894981020664,1.0,-5.64893623118743,-4.522427272866373,-0.006754569812537382,-0.008719603438768903,-0.004802971250562001,0.48124209194432727,1.0,4724,-0.02075963933161564,-0.018217861638139703,0.384419983065199,0.37064698390413997,0.3983808109356871,-0.010635756721088609,-0.01320467509724493,-0.015844915815177028,-0.010478947593429546,0.44893504850274146,1.0,-11.81813493976956,-9.628195854912633,-0.018362349191661798,-0.021070794047564914,-0.015600683587924595,0.47956558414171235,1.0,4703,-0.034234988615428195,-0.0294206598967758,0.382521794599192,0.36873284794091526,0.3965025064844388,-0.014323865532527869,-0.017678150036531656,-0.021362876877121628,-0.013868492676481768,0.4315900463939266,1.0,-11.162842501406864,-9.249757303185834,-0.02848004970303705,-0.03229282858018609,-0.024467935186915507,0.4773618726275833,1.0,4642,-0.06674711555404841,-0.05104658979994085,0.3496337785437312,0.33604527497105924,0.3634709547686719,-0.02667160876705895,-0.03288402334025469,-0.03818148598822658,-0.027265088697772166,0.4059363137916491,1.0,-14.006655550216474,-12.069866495015932,-0.04937601904608933,-0.055188961965969126,-0.043443165865136205,0.4629692113032476,1.0,4605,-0.07942558568399373,-0.0595835156401767,0.353528773072747,0.339848157671807,0.3674535643053597,-0.030347904074544463,-0.02806501013778855,-0.03454969537953818,-0.021726854754616328,0.3881906368620835,1.0,-9.386169398872061,-8.50892907809791,-0.051912950788969445,-0.05919525411955846,-0.04475946711408893,0.4546183045128638,1.0,0.08034584563475326,0.8412062420919443,0.0784479122733024,4702,-0.40962652569170005,0.15631646108039132,0.509090249130936,6.561271117686691,15.91754533951919,-0.027853325215365772,0.7191772443083452,0.0,worse than random
Bull Flag,7707,514,7685,-0.00030149282819532096,0.0001164049223691,0.5012361743656474,0.490059353461124,0.512411760002834,-0.00110800086926216,-0.004120565972659705,-0.005309495147210984,-0.002961865227834327,0.5428247048138056,1.0,-7.117472889764567,-6.934201316116853,-0.00544263890210346,-0.006639073669970465,-0.004262338381138632,0.5470481380563125,1.0,7653,0.003725175184610489,0.0021821203587997,0.5165294655690579,0.5053277236380895,0.5277146211323704,-0.0003553207669779221,-0.004507095090436112,-0.006182295067550233,-0.002910335689163141,0.5538795899831322,1.0,-5.50768693723445,-5.344565225380853,-0.0072298728910666285,-0.008900123058523817,-0.005603350959386599,0.5630790190735695,1.0,7620,0.011944298770913117,0.0083459908257317,0.5461942257217848,0.5349951482346583,0.5573467493199814,0.002088676948697506,-0.00526522923390995,-0.007814232742531164,-0.002920187882511426,0.5680809653561697,1.0,-4.557892120081295,-4.229311417422382,-0.010060949998151431,-0.012643486091419423,-0.007555034023600454,0.5770079148825743,1.0,7536,0.029281374909843935,0.023017257496724848,0.5796178343949044,0.5684350711274243,0.5907194660182896,0.004670869659008847,-0.005895574811355605,-0.009394236459156553,-0.0022336983264257216,0.5850590372388738,1.0,-3.5241191953805515,-3.304895500024562,-0.010540861480754135,-0.014274216570864457,-0.006644277329103006,0.5877384196185286,1.0,7483,0.045770761109345574,0.0318195232986631,0.5932112788988374,0.5820358917660757,0.6042910100879719,0.008778521643025708,-0.007336846211471959,-0.011953451299707075,-0.0029635473410071786,0.5956143765408071,1.0,-3.4286046567744908,-3.162207202610006,-0.012743026935974395,-0.018192405737062843,-0.007575565099300006,0.5979109900090827,1.0,0.22135720773322953,0.6778253535746723,0.1008174386920981,7677,0.2691013747157111,0.3147062654682819,1.3980973182699712,4.99881489003504,19.68262618398858,0.013567700863188627,0.7266920027492089,0.0,worse than random
Cup and Handle,1224,474,1223,-3.749521810382536e-05,0.0020060129135659,0.5298446443172526,0.5018219451915947,0.5576804388162512,-0.000585529720383872,-0.0032496103763998544,-0.0054909899952883005,-0.0009718100601678307,0.5447303921568627,0.996,-2.5531330570273747,-2.8207789787817017,-0.0037146547465458945,-0.006004636685551064,-0.0015521102938911653,0.549264705882353,0.9985,1221,0.0015436526006528289,0.0027777147307903,0.5257985257985258,0.4977529824670617,0.5536822398506649,-0.00046724283508347344,-0.004768891299158545,-0.008028183848331788,-0.0016617964948092013,0.5559232026143791,0.9975,-2.733014834789298,-3.002851040462946,-0.00642833478243758,-0.009781685414164788,-0.0033610998223606954,0.5656862745098039,1.0,1215,0.0030162633289054206,0.0043474054570145,0.5292181069958848,0.5011031852119315,0.5571488468814924,-0.0017667281231422563,-0.010231544914923665,-0.014714183053461158,-0.005657433182725314,0.568218954248366,1.0,-4.054623257913323,-4.3456354570754305,-0.013191577334917073,-0.018049026988108202,-0.008317978837101976,0.5781454248366014,1.0,1203,0.004135502103690932,0.0077722557411685,0.5353283458021613,0.5070763089671123,0.5633554693209414,-0.007919512208663241,-0.026378958693460727,-0.03272719010990613,-0.019861489992477936,0.5979166666666667,1.0,-7.047289220450974,-8.011154052386173,-0.028204322511985635,-0.03543804663424758,-0.020740420283716834,0.6051470588235294,1.0,1195,0.010315415812616652,0.0119806050451547,0.5464435146443515,0.5181128362728423,0.5744765433416122,-0.011262491753427147,-0.03279376913283276,-0.04052007249370257,-0.025183555417971026,0.6021241830065359,1.0,-7.493158439363703,-7.918627102111165,-0.03900212909841521,-0.049339549654197304,-0.02926219323834413,0.6271241830065359,1.0,0.16666666666666666,0.5849673202614379,0.24836601307189543,1223,0.169096978535874,0.3785772690106296,1.285229357423586,4.144375166270646,29.077614379084967,0.007717205510559551,0.6601689421344062,0.17565359477124182,worse than random
Descending Triangle,1644,492,1637,-0.0035621277750790027,-0.0039359614216392,0.4575442883323152,0.4335376875455352,0.48174968693351256,-4.035734057021751e-05,-0.0005368646043261428,-0.0028685179073927015,0.0017543701401385038,0.4554744525547445,0.6795,-0.4757157223790856,-0.454272732763519,-0.002714554614348279,-0.005001192043732936,-0.0003851731968931703,0.4817214111922141,0.99,1635,-0.00858392700189385,-0.009606308824434,0.43608562691131497,0.41222565030164143,0.46024524621453206,-0.0016228928037445584,-0.002139497400679666,-0.005495411799479978,0.000952716652404828,0.44425182481751824,0.9035,-1.2983847039390215,-1.3216560600249703,-0.006076590818001579,-0.009382235781816042,-0.0029544371610763084,0.477463503649635,0.9995,1631,-0.01879512479324361,-0.0154706155507278,0.4230533415082771,0.3992846776955054,0.4471836284694464,-0.002679117113847138,-0.006153165012733713,-0.010837509031392538,-0.0016129336772617334,0.4328771289537713,0.9965,-2.6703864860929922,-2.55411731128781,-0.011503264464828293,-0.01642937985384182,-0.006954738741523664,0.47363138686131384,1.0,1615,-0.037683782228050564,-0.0328767605246334,0.38575851393188854,0.3623153536191362,0.40974387688247677,-0.00788067557422722,-0.010135462225671818,-0.017570562121808554,-0.0032449486059631188,0.4039233576642336,0.9995,-3.2097222851829654,-2.791750313389993,-0.02710049078489996,-0.034612815804826565,-0.019651393928982876,0.478345498783455,1.0,1598,-0.050261672910857653,-0.043163216716339006,0.3785982478097622,0.3551344305025109,0.40264436610259646,-0.009462354106838185,-0.01016425251166729,-0.018353238090098648,-0.0022842741067372156,0.38667883211678833,0.9905,-2.401894708233542,-2.3790521088581644,-0.03184093712882128,-0.04123863599216239,-0.02284127059491587,0.46630170316301706,1.0,0.20316301703163017,0.6940389294403893,0.10279805352798053,1632,-0.24899942799629243,0.2861519607843137,0.6368689347140365,3.8195599798617974,18.621654501216543,-0.01691073280764881,0.6957101862557583,1.2402676399026764,worse than random
Double Bottom,5597,513,5594,0.0027350581045569537,0.0026327412687776,0.53557382910261,0.5224842617574352,0.5486145703352772,0.00016913330488669314,-0.0005708425186962513,-0.0018000214827139282,0.0006095916323524392,0.5420135787028766,0.8165,-0.896892462747713,-0.9388608713113273,0.0006702542889805279,-0.0005946303849524856,0.0018506824623792859,0.5301947471859925,0.1355,5585,0.006603550194870987,0.0063327420348882,0.5550581915846016,0.5419911427047814,0.5680495498065252,0.0016625994388472516,-0.00032590715686422604,-0.002041873351251546,0.0013907777203176687,0.5554761479363945,0.6485,-0.3588258042321198,-0.3620604575777205,0.0026233714298528,0.0009104160196187293,0.004391678033764108,0.5345006253350009,0.0,5567,0.011870587725004995,0.012570143382796,0.5663732710616131,0.5533135921652818,0.5793414091903483,0.0014055714471290035,-0.0026575956383992215,-0.005186986425738784,-0.0001466647802743014,0.5704573878863677,0.984,-2.082723824037055,-2.0458125945369234,0.003476807347391686,0.0008120187914111655,0.006035622968598783,0.535715561908165,0.002,5500,0.0182755379007853,0.0171967886468583,0.5632727272727273,0.5501249799530913,0.5763321477375022,0.0020842089638035406,-0.010719063510893686,-0.014236597483619379,-0.0067731477628753005,0.5815794175451134,1.0,-5.884834343226769,-5.778268372760917,0.0013385829751878069,-0.0025510760637354455,0.005457214641244843,0.5359924959799893,0.19,5404,0.030768949859707847,0.02762799173700775,0.5860473723168024,0.5728584907825521,0.5991140019028846,0.0015062789024039324,-0.012472950465507929,-0.017170384409370593,-0.007973980536984981,0.588931570484188,1.0,-5.674782995030029,-5.331633876558616,0.0026627447953827947,-0.002670291718057227,0.007869822722128833,0.540289440771842,0.0705,0.5762015365374308,0.24745399321064857,0.17634447025192068,5595,0.09887988239584733,0.6314566577301162,1.349047025957053,0.7231425147385621,26.093978917277113,0.012193484136579034,0.7220679101169675,0.38663569769519385,edge vs random (statistically significant)
Double Top,6109,513,6087,-0.00428959442981439,-0.0047857186772461,0.4480039428289798,0.43554773315322187,0.4605257421445104,-0.000502382291109281,-0.0009207211545301025,-0.0021904162529542233,0.00032652192971781285,0.4556555901129481,0.9445,-1.6025942249903067,-1.3992701304910824,-0.0005527203626443126,-0.001824525152286238,0.0007480340924260206,0.45376493697822884,0.821,6082,-0.007963257833553552,-0.0102253969879129,0.42502466293982244,0.4126517332220753,0.43749224686442595,-0.0019236344273672738,-0.001358498320022951,-0.003298199841997601,0.0006269074214636609,0.4432722213128171,0.953,-1.6462605826635848,-1.378610266638267,0.00020414790419196068,-0.0017935402889861576,0.0021602564878390987,0.4345392044524472,0.3775,6065,-0.019348343521962522,-0.0185106831293946,0.4037922506183017,0.39150828810246513,0.41619801288255326,-0.0056372185716353634,-0.004570419675987705,-0.007300473297995579,-0.0020167514157040265,0.4235144868227206,1.0,-3.8729912009269922,-3.3003216001081066,-0.00197131317683457,-0.004912270062119087,0.0006808002524164961,0.41429039122605993,0.962,6015,-0.04058294778340232,-0.0345217493667033,0.37539484621778885,0.363240736147705,0.3877080178450899,-0.009567424593980684,-0.011872085250448196,-0.015575629092938588,-0.008192100696975296,0.4014650515632673,1.0,-7.146714249637317,-6.1899994476033475,-0.006607401364489393,-0.010695404963542958,-0.002663623431166594,0.384972990669504,1.0,5964,-0.05930111863458493,-0.04849022533951685,0.35429242119382964,0.3422506709606366,0.36652176026474986,-0.01391502656909752,-0.01609556842760418,-0.02053414901529501,-0.011557377944816071,0.37912915370764444,1.0,-7.8039329741529695,-6.8021897453321385,-0.011386473123302699,-0.016276500918001414,-0.0062375842077635755,0.3651415943689638,1.0,0.4308397446390571,0.40464887870355215,0.16451137665739074,6108,-0.18937767897303845,0.4521938441388343,0.5805164682869324,0.7434690890158073,25.076280897037158,-0.02578072741307481,0.730401174304386,0.5856932394827304,no detectable edge
Falling Wedge,3183,508,3181,0.0070497420286174195,0.0076886212498461,0.5928953159383842,0.5757199427210439,0.6098465859251533,0.0020513064946769684,0.0041694627555591696,0.0025498478829486955,0.005644451294387172,0.5384699968583098,0.0,5.354272657486931,5.179058859360773,0.005753123663548554,0.004102312164368802,0.007313661490347179,0.5187401822180333,0.0,3179,0.01288910872398506,0.0144254997014017,0.6140295690468701,0.5969783953507837,0.6308054817984907,0.003782766497770191,0.006464023472603799,0.004195884788113418,0.008745857159606518,0.5539899465912661,0.0,5.969402791115375,5.537815000065576,0.009788038677343583,0.007493583229052978,0.012095707012206287,0.5195098963242224,0.0,3165,0.022357741358918364,0.0234481764330412,0.6154818325434439,0.5984028754554521,0.6322807914088052,0.004564487947923778,0.008865838791505614,0.005520354555168987,0.011999631362482702,0.5672950047125354,0.0,5.491613311442253,5.183277193524464,0.016280020960281773,0.012881519406791149,0.019649220792827934,0.5138391454602577,0.0,3138,0.03312317573796488,0.0308425837639476,0.6217335882727852,0.6046264653555901,0.6385430184274244,0.008879728164981643,0.004888352671153025,0.0006436276702340303,0.009211602508820152,0.5859723531259817,0.0135,2.1935136968531936,2.121253850943381,0.01811369480862946,0.013214332336780394,0.022696409216213805,0.523641218975809,0.0,3106,0.04473791076359957,0.041970395821376655,0.6168705730843529,0.5996389505422071,0.6338134542362228,0.010181140336805797,0.003519577646799711,-0.0020268635670440903,0.009136791971329147,0.5912032673578386,0.1025,1.2429419708371021,1.2416302974894036,0.021757503497844576,0.01568634488244211,0.028241274911144643,0.5311498586239397,0.0,0.3176248821866164,0.489789506754634,0.1925856110587496,3176,0.3922354149645012,0.4748110831234257,1.7899296204418655,3.4048726817370762,26.832547910775997,0.022191420081334103,0.6928942096242071,1.512095507382972,edge vs random (statistically significant)
Head and Shoulders,1782,490,1773,-0.005021990956064836,-0.0043172478486164,0.45910885504794136,0.4360261102086358,0.4823684163490496,-0.0016305175525842344,-0.0019970847178191658,-0.004712919305706281,0.000556797420418948,0.4591750841750842,0.955,-1.7440772691012856,-1.490632563524649,-0.0015426201409822627,-0.004245982998399863,0.001057623891911855,0.4580246913580247,0.9215,1769,-0.008751232475813591,-0.0089683700156426,0.4245336348219333,0.4016881454064601,0.4477061828854753,-0.0012342052558519136,-0.0017985362632676975,-0.005445885434773898,0.0017574876213317754,0.44320987654320987,0.8775,-1.171090066676471,-0.9581094909005621,-0.0006160108781358388,-0.004273738507767704,0.0031088646154004015,0.43967452300785637,0.66,1760,-0.018446139591704904,-0.01525161506131295,0.42159090909090907,0.3987153731331653,0.44480799086958867,-0.002300731404316336,-0.003731036163456157,-0.008825262799209725,0.0009078364467646269,0.424354657687991,0.954,-1.6314486832340005,-1.5166606715001474,0.00048101157288908653,-0.0045417134800231195,0.005538099615942246,0.41245791245791247,0.405,1737,-0.03617942747934885,-0.0344528732398046,0.37535981577432354,0.3528866652548447,0.3983830654317383,-0.0018607690718729004,-0.0068465970055160644,-0.013716305360707838,-0.00014794723092809476,0.3957912457912458,0.977,-2.0154806114268315,-1.9869069749511326,0.0007692517981129264,-0.006579742498101616,0.008346263128983174,0.37362514029180693,0.3895,1721,-0.058426658953801315,-0.0503921335178658,0.3550261475886113,0.3327636732214142,0.377934398995768,-0.00995581593167602,-0.014455068028635406,-0.023163817036133835,-0.00653798602952225,0.3771043771043771,1.0,-3.7524765240921796,-3.4453088146375155,-0.0070903666446087915,-0.01643548429997035,0.0016982994885450075,0.3567901234567901,0.987,0.24691358024691357,0.5852974186307519,0.16778900112233447,1775,-0.25632224763739736,0.3307042253521127,0.5819745526511498,1.9709495608198764,25.17732884399551,-0.02571633974379013,0.7037352140203821,0.9579124579124579,no detectable edge
Inverse Head and Shoulders,1728,487,1725,0.003557148960929066,0.0036705312863267,0.542608695652174,0.5190301648203892,0.5659978678229716,0.0011102807717356172,0.0008674658038057047,-0.0011871369035347343,0.0028808961048462107,0.5425347222222222,0.204,0.8403047797981444,0.8381627156844809,0.0020655061997412708,1.8849352243720264e-05,0.0041541830354234624,0.5291087962962963,0.028,1722,0.008966499242166096,0.00813705924482195,0.5708478513356562,0.5473377588688721,0.594042539299859,0.0029052590220737975,0.0015273107889828877,-0.0012600126987790264,0.004363996649141897,0.5603877314814815,0.1525,0.9857299528164455,1.0452384908613903,0.00570057759918457,0.002874799138572866,0.008693951539211193,0.5326967592592593,0.0,1717,0.014669987834894276,0.0125988192153825,0.5818287711124054,0.5583397806539301,0.6049524131191633,0.003378166809220296,0.0006428498143680803,-0.0036412677324529183,0.004702005455777423,0.5703414351851852,0.398,0.27342744299297383,0.2995734513945775,0.009235846538947096,0.004960388024829048,0.013412136769394128,0.5194155092592593,0.0,1699,0.02032388082079398,0.0185792724084745,0.5715126545026487,0.5478462766085439,0.5948563681941201,0.002531793039467253,-0.007240869362034257,-0.013247987174371385,-0.0010313882547207747,0.5849537037037037,0.993,-2.3642311253837014,-2.341693133918197,0.01126037445256955,0.004798274625638768,0.017647015057132325,0.5130208333333334,0.0,1674,0.03204212300099509,0.026037708002092153,0.5806451612903226,0.5568481168434777,0.6040729140810149,0.0018879019630209967,-0.009510552673862123,-0.01737480127412681,-0.0011069350888394272,0.5960648148148148,0.9945,-2.544845873681196,-2.3338172195044704,0.018670163173540637,0.009529885478906345,0.027957016916371917,0.5015914351851852,0.0,0.3871527777777778,0.4230324074074074,0.18981481481481483,1726,0.21178679619325663,0.5127462340672074,1.4790103842449707,1.956929814011404,26.722800925925927,0.01687708144856655,0.6907736581512388,0.7609953703703703,edge vs random (statistically significant)
