tp,sl,n,hit,target_rate,stop_rate,unresolved,mean_ret,median_ret,mean_days,median_days,p90_days,ret_per_day_bp,ann_return_of_capital,profit_factor,avg_win,avg_loss,bh_same_days_per_day_bp
0.01,0.05,74893,0.8354852923504199,0.8354452352022218,0.1641408409330645,0.00041392386471365817,4.9867009771858516e-05,0.009500000000000008,3.44480792597439,2.0,8.0,0.1447599135959177,0.003654585189749371,1.0058106633683501,0.010331539428440704,-0.052165440723443535,1.3973451142640723
0.01,0.1,74893,0.9200993417275313,0.9200592845793332,0.07855206761646616,0.0013886478042006596,0.0014591283696945543,0.009500000000000008,5.46479644292524,2.0,14.0,2.670050723634091,0.06959096221054573,1.1785250859718654,0.010468835168763815,-0.10229252367192705,3.212385980797548
0.01,0.2,74893,0.9637616332634559,0.9637215761152578,0.03269998531237899,0.003578438572363238,0.0031768020148974186,0.009500000000000008,8.727090649326373,2.0,20.0,3.640161587117959,0.09605281920265907,1.4546547111037935,0.01054626642326967,-0.192814565535545,3.8989238952904333
0.01,0.5,74893,0.978155501849305,0.9781154447011069,0.0040991814989384855,0.017785373799954603,0.0051010985550656645,0.009500000000000008,12.585742325718025,2.0,23.0,4.053077222661671,0.10751288040732554,1.9719637249424504,0.010580463107173891,-0.2402545304142452,4.176530545237302
0.01,none,74893,0.9790768162578612,0.9790367591096631,0.0,0.02096324089033688,0.005971588606358194,0.009500000000000008,13.060633169989185,2.0,23.0,4.572204523804981,0.12209022876101838,2.3604867092035913,0.010582307322856897,-0.2097818004210725,4.677060507706401
0.02,0.05,74893,0.7305222116886758,0.7303753354786161,0.26867664534736224,0.0009480191740216041,0.0011549930953772653,0.019500000000000017,5.966979557502036,4.0,14.0,1.9356411133085587,0.04998243537399105,1.0820093481492445,0.020859966935689627,-0.052262845759906126,2.5915342159546713
0.02,0.1,74893,0.8576769524521651,0.8575167238593727,0.1396392186185625,0.0028440575220648125,0.003485672465485199,0.019500000000000017,9.885009279905999,5.0,25.0,3.5262207315988943,0.09291135013660212,1.2399387661933774,0.021002096658107944,-0.10207300954867463,4.018908995977932
0.02,0.2,74893,0.9334250196947645,0.9331045625091797,0.05979196987702456,0.007103467613795681,0.006923169880835639,0.019500000000000017,16.212423056894504,5.0,43.0,4.270286962374504,0.11358914340043813,1.5421716078158578,0.021097037906911476,-0.19180378400983492,4.4935698430679585
0.02,0.5,74893,0.9583272134912475,0.9579266420092666,0.007584153392172833,0.03448920459856061,0.010491464627264175,0.019500000000000017,23.31794693763102,5.0,58.0,4.49930890370662,0.12003180794905077,2.0740375451328905,0.021140704239514068,-0.2344035130883396,4.623019296922517
0.02,none,74893,0.9598226803573098,0.9594221088753287,0.0,0.040577891124671195,0.012004877057627329,0.019500000000000017,24.218471686272416,5.0,60.0,4.956909425639756,0.13301607320208597,2.4480484737547634,0.02114480194372506,-0.20634486056691545,5.068880647538766
0.03,0.05,74893,0.6577917829436662,0.6574713257580815,0.34092638831399463,0.001602285927923838,0.0026400828884739036,0.029500000000000026,8.337281187827967,6.0,18.0,3.1665993133688457,0.08305491261341924,1.147494962591017,0.03122501947152075,-0.052305811053046256,3.539524758089615
0.03,0.1,74893,0.8084467173167051,0.8080862029829223,0.18757427262895063,0.004339524388127061,0.005801439490948201,0.029500000000000026,14.057281721923276,8.0,34.0,4.126999519331298,0.10957707955552665,1.2969436952563056,0.03134233718863516,-0.10199339759965913,4.5221315115172604
0.03,0.2,74893,0.9060526350927323,0.9053449588078992,0.08330551586930687,0.011349525322793853,0.010634643351098927,0.029500000000000026,23.184543281748628,9.0,62.0,4.586953998559354,0.12250718138319328,1.5959193891973298,0.031433514202604346,-0.18995503535421704,4.752206426986103
0.03,0.5,74893,0.9394068871590135,0.9384054584540611,0.010321391852376056,0.051273149693562815,0.015827529686390993,0.029500000000000026,33.12651382639232,9.0,97.0,4.777903817268268,0.1279190898131073,2.1526041600035493,0.031466134119545915,-0.22662597734195064,4.86549759149596
0.03,none,74893,0.941383039803453,0.9403415539503024,0.0,0.05965844604969757,0.017898598213554294,0.029500000000000026,34.35371797097192,9.0,102.0,5.210090572635598,0.14026431586125243,2.5265512239315298,0.031468016943867916,-0.20002503020177625,5.287237060722
0.05,0.05,74893,0.5505454448346307,0.5495707208951437,0.44750510728639525,0.0029241718184610044,0.004800231742830036,0.049500000000000044,12.960784051914064,9.0,28.0,3.703658454305572,0.09780739552242834,1.2038903038586564,0.0514824699157244,-0.0523817308947856,3.9401611005857586
0.05,0.1,74893,0.7288932209952866,0.7277182113148092,0.2649379781822066,0.007343810502984258,0.009944078886710837,0.049500000000000044,22.246658566221143,14.0,51.0,4.469920216157639,0.1192029967092878,1.3596568114079552,0.051575288123695114,-0.10198490461593566,4.73823188878953
0.05,0.2,74893,0.8560746665242412,0.8531371423230475,0.12532546432910954,0.021537393347842923,0.017149288795445517,0.049500000000000044,36.7643838542988,19.0,94.0,4.664647410768528,0.12470604369027893,1.634743563931111,0.0515924080523055,-0.18772000780296988,4.782538266477941
0.05,0.5,74893,0.9017131107046052,0.8973335291682801,0.015448706821732338,0.08721776400998758,0.025214010660959095,0.049500000000000044,51.85958634318294,20.0,171.0,4.861976818346437,0.1303101234044517,2.183211119994965,0.051594931476035874,-0.21681239125233592,4.920742733434059
0.05,none,74893,0.9046239301403335,0.9001108247766814,0.0,0.0998891752233186,0.02840145125854367,0.049500000000000044,53.70258902701187,20.0,194.0,5.288655868017466,0.1425229124485652,2.554371372869343,0.05159429819365285,-0.19157830232589512,5.336868072597897
0.1,0.05,74893,0.40139932971038683,0.3982348150027372,0.5954361555819636,0.00632902941529916,0.009268426670058255,-0.050500000000000045,23.953373479497415,16.0,55.0,3.8693617322801925,0.10239937667147814,1.2948835277066242,0.10139337238930081,-0.05250713305896561,4.017032471566468
0.1,0.1,74893,0.5915372598240156,0.5856221542734301,0.39699304340859626,0.017384802317973642,0.018328659594993614,0.09950000000000009,42.16486186960063,30.0,94.0,4.346903744562704,0.11574034692098434,1.440697813615411,0.10129327232200372,-0.10182100118863556,4.490971836285898
0.1,0.2,74893,0.7484411093159574,0.7293472020081984,0.20712216094962146,0.06353063704218018,0.02954084268682141,0.09950000000000009,68.72889322099529,46.0,165.0,4.298169416439443,0.1143715329160806,1.6493726078555195,0.10025131055783106,-0.1808378120676214,4.328001943258187
0.1,0.5,74893,0.8142416514226963,0.7861081810049003,0.024247927042580747,0.18964389195251893,0.04453918088881422,0.09950000000000009,93.62206080675097,58.0,250.0,4.7573382282995595,0.12733497239766112,2.214241505490555,0.0997490629796269,-0.19746440017644215,4.7595757333080755
0.1,none,74893,0.818420947218031,0.7896999719599963,0.0,0.21030002804000375,0.04963077573865606,0.09950000000000009,96.45551653692601,59.0,250.0,5.145457462731636,0.13840957658355713,2.5517982673146444,0.09972071930194329,-0.1761367807558014,5.140586510682308
