group,n,hit,stop,mean_ret,days,per_day_bp,bh_per_day_bp,edge_bp,ann,dim,tp,sl,period
above MA200,74893.0,0.8354852923504199,0.1641408409330645,4.9867009771858516e-05,3.44480792597439,0.1447599135959177,1.3973451142640723,-1.2525852006681546,0.003654585189749371,trend,0.01,0.05,
beaten-down,23413.0,0.831034040917439,0.1688805364541067,-0.00010975136072547275,2.24003758595652,-0.48995321066725656,4.361453763185793,-4.85140697385305,-0.012271210415771727,trend,0.01,0.05,
below MA200,17138.0,0.8440308087291399,0.15585249153926947,0.0006541281678677833,2.9617224880382773,2.208607222687669,5.214823428026287,-3.006216205338618,0.05722838932703511,trend,0.01,0.05,
low vol,38467.0,0.8429563002053708,0.15649777731562117,0.0005630405813951579,4.6018145423349885,1.2235186277399779,1.7097649348795176,-0.4862463071395398,0.03131097413790962,vol,0.01,0.05,
mid vol,38466.0,0.839988561326886,0.15982945978266522,0.00026328252397045534,2.9324338376748296,0.8978293749986733,1.9947967490252163,-1.096967374026543,0.022882154792622345,vol,0.01,0.05,
high vol,38466.0,0.824936307388343,0.17495970467425778,-0.00048551746591104567,1.8522331409556492,-2.6212546097763143,4.670876058321436,-7.29213066809775,-0.06392930368800986,vol,0.01,0.05,
6m losers,38337.0,0.8398935753971359,0.15984557998800114,0.0003927072724225125,2.5712497065498083,1.527301185186952,5.056048842383194,-3.528747657196242,0.03923519274438858,mom,0.01,0.05,
6m middle,38337.0,0.8452930589247984,0.1543417586143934,0.0006512965904488641,3.609306935858309,1.8044921144784345,2.89307708918661,-1.0885849747081755,0.04651866561663609,mom,0.01,0.05,
6m winners,38337.0,0.8234864491222579,0.17630487518585178,-0.0006492418105264658,3.214466442340298,-2.0197498470501505,-0.3212974075815295,-1.6984524394686207,-0.049628992930426996,mom,0.01,0.05,
NASDAQ-100,21367.0,0.8276313942060186,0.1723218046520335,-0.0002882472300430366,2.8733093087471335,-1.0031890028878332,3.5887532154022628,-4.591942218290096,-0.02496472680881434,index,0.01,0.05,
S&P-only,94077.0,0.8377180394782997,0.16195244321141192,0.00019701423790539595,3.186772537389585,0.6182249771324386,2.113430722398818,-1.495205745266379,0.01570076980497448,index,0.01,0.05,
(NASDAQ-only),2411.0,0.7951057652426379,0.2048942347573621,-0.0008935313774330101,3.13604313562837,-2.8492317828210387,4.931530584419305,-7.780762367240344,-0.06929309782260362,sector,0.01,0.05,
Communication Services,5190.0,0.8233140655105973,0.1766859344894027,-0.0005607766529366911,2.857418111753372,-1.962529216953086,1.8944193512684784,-3.856948568221564,-0.04825733425154943,sector,0.01,0.05,
Consumer Discretionary,10681.0,0.8385918921449302,0.16140810785506976,0.0003207199514140268,2.640389476640764,1.2146691018556204,6.299288406560728,-5.084619304705108,0.031081037157624225,sector,0.01,0.05,
Consumer Staples,7706.0,0.8479107189203219,0.1518297430573579,0.0007459898236331481,3.968336361276927,1.879855324040889,1.9167461657223863,-0.03689084168149716,0.04850768627270363,sector,0.01,0.05,
